country,iso,EPI_score,EPI_rank,BHI_mean,BHI_latest,BHI_trend,CDA_mean,CDA_latest,CDA_trend,CDO_mean,CDO_latest,CDO_trend,GDP_mean,GDP_latest,GDP_trend,GPC_mean,GPC_latest,GPC_trend,PMD_mean,PMD_latest,PMD_trend,POP_mean,POP_latest,POP_trend,TCL_mean,TCL_latest,TCL_trend,UWD_mean,UWD_latest,UWD_trend
Afghanistan,AFG,33.14,135,0.69268029417691,0.693614198451716,-4.747097370197825e-05,0.10912402303914626,0.0200805891224323,-0.0057660217882810165,8.885635512264008,9.260778645906013,0.0786747072233138,25.13060052097847,25.13288913202463,0.035560686753992835,7.84061482342282,7.593279790644908,0.004960175949857068,677.0272789848364,668.09795233228,-4.9761794259713374,17.290385467497007,17.54011331835086,0.030598461523037752,0.0003972968564477273,9.79669807160074e-05,-6.166282716759925e-05,6.779508988674695,6.234097377148698,-0.048603648368091106
Albania,ALB,49.22,46,0.6460660789433103,0.644614977357794,-0.00012793068433629616,0.030305393680187424,-0.0175402008399532,-0.005958757143179226,8.468731441873961,8.393517713600328,0.007810310566430835,24.34250638642742,24.62408968964593,0.028923275409458805,9.466701893345988,9.798499557423252,0.03292685353179761,901.4370614398722,857.23413339098,-1.4019822701021831,14.87588354917918,14.825646032778101,-0.004006176777284014,0.003073175710118321,0.0026136225214262,-9.014007982152609e-05,3.2766919500638,2.7709792576975483,-0.03750880559243975
Algeria,DZA,42.74,78,0.716620556031225,0.714949303970653,-0.0002063270851048376,0.03519121117626838,0.028956116494979,0.0012470587072901547,11.880563334143266,12.220210477263244,0.038607900233181225,27.077838274240392,27.27408665829854,0.023430288784214253,9.594400433739963,9.626437046655083,0.004287570014474039,1595.303337870074,1477.08992304927,-10.719186403530355,17.48350602203296,17.64771559712931,0.019142423592921298,0.007906633502936522,0.0123100576118457,0.0005993423996785158,4.464390751679311,4.210392087850024,-0.028710155205323447
Angola,AGO,39.46,96,0.7787147169316088,0.774059209320081,-0.000676808836528334,0.019234512620114923,-0.0098612403760784,-0.0016764163559959844,9.976334469271613,9.983952452533702,0.00890995825228676,26.34397927179271,26.500818365781186,0.02840180553509123,9.2354199886433,9.081285921661603,-0.007834450387727185,1240.1609305371198,1290.00234959875,1.9608740763404886,17.108657354598513,17.419646253007674,0.036237045925694794,0.003094890916619363,0.0045463018315546,0.00019249842253762212,7.772065417980995,7.082010370982761,-0.07706788984484896
Argentina,ARG,46.06,60,0.6944989210228181,0.690274833130793,-0.0007368320610844739,0.016322081547685927,-0.0019602836533131,-0.0022647166205330806,12.114179666081483,12.091828365051573,0.001895759233157514,27.779201362836062,27.846155665543463,0.010874572311707258,10.20780953195396,10.21212588254043,0.0020180047584073516,895.575549090949,817.60031585742,-11.548146183509393,17.57142881223898,17.634066527953458,0.008856486063733866,0.008036648367920916,0.0050828086368743,-0.00030366839167267774,3.716089518634829,3.1658545104804485,-0.06499642863625295
Armenia,ARM,43.05,75,0.6761156334874329,0.675233488850652,-0.00017470675801940747,0.03515940792741843,0.0455343513221349,-0.00108271584130737,8.625403540728463,8.913446389378057,0.028372053546183027,24.378200021731516,24.775321618709235,0.03467273303169566,9.456792675768199,9.873221681595643,0.03797312323918681,2253.5774984456143,1715.01261088931,-45.66670984041745,14.921487663405454,14.902151812198879,-0.003303386066065519,0.00027127793932366214,7.07322958503181e-05,-2.9938298128229156e-05,3.1845719423354018,2.710536975831283,-0.11278809737317051
Australia,AUS,59.4,25,0.7368031972964454,0.733332317975562,-0.00028058017150228037,0.007757131500821239,-0.0052098145938431,-0.0015161024782143274,12.898886497951699,12.859223157983836,-0.00025931723337362035,27.88336037493043,28.112123111124717,0.025221600230399654,10.91775454241971,11.013735679345682,0.009880056672069308,135.1964675522784,149.94739397565,1.2663107434570453,16.96562403623962,17.098403943293594,0.015341363303940045,0.00958632006617309,0.021706023919566,0.0009724293799351059,2.7928600237963472,2.322948912938249,-0.07325050977538604
Austria,AUT,66.8,10,0.658436493765771,0.657046131239491,-0.00016690802430784454,-0.0029520484707285894,-0.012315021462478,-0.0014539877084943933,11.127300805726579,10.949225564111527,-0.012075269970255488,26.992741752284903,27.1022522216244,0.011290972142469184,11.024730403448148,11.074998602073093,0.0053789534919810094,605.7097319413452,309.46336232443,-36.62499066537072,15.968027769120978,16.027269224093338,0.005911930305046396,0.004194815947068253,0.0056510538678845,6.363429177768689e-05,1.662714048613645,1.2542594436519536,-0.053410788682379015
Azerbaijan,AZE,39.76,92,0.6441201942588863,0.644326202480337,-7.660960273159217e-05,0.011232223029479517,0.0237846511088349,0.0009328609190416624,10.441009214551583,10.663105691991564,0.014823802967328808,25.891007391914215,26.10034052675446,0.03303730716629825,9.832361449925136,9.967013312168021,0.021746637911782024,2946.2945086359246,2842.03793467052,-4.245270355522932,16.058700728708025,16.133374236663716,0.01128926536841264,0.0002488714862907324,0.0001146287535868,-2.9437598545423175e-05,5.189349434659573,5.269276946003357,-0.01626887457066121
Bahamas,BHS,44.99,68,0.748938436190784,0.745110824072616,-0.0007564167019165458,0.010567071834748263,0.0345106555517196,0.0018002403503871885,7.710293005492232,7.9919716588314325,0.022318856428627437,23.248773234776365,23.36722427699325,0.003406356946609858,10.407100906624272,10.469433823279646,-0.004885450083091474,350.498994115769,255.57442579332,-15.36676927553388,12.841705263445197,12.897821348676263,0.008291939338107422,0.004281049446833895,0.0050433417449561,0.00024860372776807586,3.871741422643515,3.656298328310291,-0.028911821072475707
