Intervention,Scenario_EPI,EPI_Change,Priority_Score
Carbon Emission Reduction,24.297054290771484,1.747589111328125,100.0
Air Pollution Reduction,22.84532928466797,0.2958641052246094,16.92984370907186
Forest Conservation,22.656631469726562,0.10716629028320312,6.132236095346197
Drinking Water Improvement,22.571258544921875,0.021793365478515625,1.247053173840915
