country,iso,cluster,distance_from_india
Pakistan,PAK,0,1.9340277888803756
Bangladesh,BGD,0,2.4349618353091587
Nigeria,NGA,0,2.4847500271556444
China,CHN,0,2.4888884170923538
Philippines,PHL,0,2.8442758166249114
Thailand,THA,0,2.847039226828622
Iran,IRN,0,3.154078119450004
Indonesia,IDN,0,3.4430295015203405
Morocco,MAR,0,3.552819807653621
Viet Nam,VNM,0,3.626963095770872
