country,iso,BHI_mean,CDA_mean,CDO_mean,GDP_mean,GPC_mean,PMD_mean,POP_mean,TCL_mean,UWD_mean,cluster,distance_from_india
Afghanistan,AFG,0.69268029417691,0.10912402303914626,8.885635512264008,25.13060052097847,7.84061482342282,677.0272789848364,17.290385467497007,0.0003972968564477273,6.779508988674695,1,4.925078054558733
Albania,ALB,0.6460660789433103,0.030305393680187424,8.468731441873961,24.34250638642742,9.466701893345988,901.4370614398722,14.87588354917918,0.003073175710118321,3.2766919500638,3,5.526387969492889
Algeria,DZA,0.716620556031225,0.03519121117626838,11.880563334143266,27.077838274240392,9.594400433739963,1595.303337870074,17.48350602203296,0.007906633502936522,4.464390751679311,0,3.968487758405581
Angola,AGO,0.7787147169316088,0.019234512620114923,9.976334469271613,26.34397927179271,9.2354199886433,1240.1609305371198,17.108657354598513,0.003094890916619363,7.772065417980995,0,4.764677601530886
Argentina,ARG,0.6944989210228181,0.016322081547685927,12.114179666081483,27.779201362836062,10.20780953195396,895.575549090949,17.57142881223898,0.008036648367920916,3.716089518634829,2,4.207559387885312
Armenia,ARM,0.6761156334874329,0.03515940792741843,8.625403540728463,24.378200021731516,9.456792675768199,2253.5774984456143,14.921487663405454,0.00027127793932366214,3.1845719423354018,0,5.521425777928631
Australia,AUS,0.7368031972964454,0.007757131500821239,12.898886497951699,27.88336037493043,10.91775454241971,135.1964675522784,16.96562403623962,0.00958632006617309,2.7928600237963472,2,5.42771962083357
Austria,AUT,0.658436493765771,-0.0029520484707285894,11.127300805726579,26.992741752284903,11.024730403448148,605.7097319413452,15.968027769120978,0.004194815947068253,1.662714048613645,2,5.358444438990271
Azerbaijan,AZE,0.6441201942588863,0.011232223029479517,10.441009214551583,25.891007391914215,9.832361449925136,2946.2945086359246,16.058700728708025,0.0002488714862907324,5.189349434659573,0,4.469249438208071
Bahamas,BHS,0.748938436190784,0.010567071834748263,7.710293005492232,23.248773234776365,10.407100906624272,350.498994115769,12.841705263445197,0.004281049446833895,3.871741422643515,3,7.306695561205066
Bahrain,BHR,0.701868769167968,0.033125593188353626,10.346341325310599,24.965406407625633,10.899123367823455,2979.9078738910243,14.066302314551256,0.0035016278291566,3.6784662760944102,0,5.8284072793679105
Bangladesh,BGD,0.5448023901819994,0.06553027934806492,11.115867522604312,27.421450094230234,8.54530960190447,1269.1961223813362,18.876343068473712,0.005542657227018253,6.465953635109413,0,2.4349618353091587
Barbados,BRB,0.6848528495250228,0.009127248207769263,7.27267515413093,22.500485458740293,9.967481980794647,834.8938366834587,12.533054145994585,0.0038953142790561055,3.9537122318358713,3,7.139903432075152
Belarus,BLR,0.653141716266538,0.0032926013672413953,11.012784638239555,26.15736190192292,10.096322042676865,1879.9492979733293,16.061081629550106,0.005342938831173274,2.678937450768328,2,4.699358945182882
Belgium,BEL,0.6134452901845275,-0.014557830160444669,11.548455923612774,27.191628840784006,10.964315453787393,567.9329347289621,16.2273307988933,0.0060253481560012005,1.6306304508222265,2,5.263584843790366
Belize,BLZ,0.8087267849532146,0.030378563268271666,6.3545771266179525,22.14771101116629,9.394275837275883,1079.8524319277833,12.753521417689262,0.007582101098343096,4.977172036974222,3,7.823234546083649
Benin,BEN,0.6456110169977399,0.06916780951765095,8.456104365543693,24.21621312518416,8.00414531688638,883.3804455381527,16.21240374446141,0.011211890353867982,7.629095609887588,1,5.273144143118472
Bhutan,BTN,0.7260634534133237,0.0713249420850222,6.967012431865704,22.816690309149646,9.318209185368094,1881.4443427683984,13.49857492474149,0.0004586914328166421,6.574210590668192,3,6.590579642248843
Bolivia,BOL,0.7893959143632132,0.04063996773046641,9.785984353078055,25.424238523687766,9.229696629283815,1801.3071183724812,16.194640916551776,0.005230744788560506,5.196716549736319,0,5.245588831360818
Botswana,BWA,0.7286227239386494,0.03644264850022808,8.621480425942778,24.28314629703853,9.69964577371611,1234.655882146119,14.583562553991591,0.000975298135931015,7.07657378338166,3,5.666926670108297
Brazil,BRA,0.763810743182129,0.021296075749896805,13.03790432308411,28.894580536972878,9.784414865591478,909.1564188758986,19.11022211705414,0.005726151951927963,4.530719476992485,0,3.9771304306315383
Brunei Darussalam,BRN,0.7680847782023177,0.028075041131454006,9.087045043569296,24.28311170965833,11.353300076544159,545.2561325606258,12.929825840329826,0.002713805223998663,1.9042357709630697,3,7.313053949873817
Bulgaria,BGR,0.6185588566990181,-0.007378529599669542,10.738355985854598,25.872463741477652,10.105261681186187,2013.8922446257175,15.767243683556806,0.0015402142498056684,2.7820023202278787,2,4.828694100639866
Burkina Faso,BFA,0.5945428332790237,0.09401646679360343,8.033550245301662,24.347388683671113,7.6352809983305505,681.4698154381642,16.712595249411464,0.0035016278291566,7.510149008448783,1,4.902006946450466
Burundi,BDI,0.6957111795769502,0.05793846265144882,6.001519157404764,23.084582273599224,6.921927548472019,562.8126825150921,16.16364145084408,0.0028563662734279426,8.094594700042984,1,6.2150015470643485
Cabo Verde,CPV,0.6974445886805359,0.03335874022219446,6.281527463103376,22.062058806187213,8.921639461373458,796.9489031366169,13.140555875473783,0.0035016278291566,6.367956617329557,3,6.973524025456138
Cambodia,KHM,0.6357655529569735,0.1177682753870225,8.976956153320517,24.984483040834334,8.437916040051217,600.9244788189332,16.546792040742,0.014834533486804904,6.0084833524746655,1,5.769023719260279
