"code","iso","country","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024","TBN.ind.2025"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0.314138569646999,0.314138569646999,0.314138569646999,0.314138569646999,0.314138569646999,0.314138569646999,0.314138569646999,5.53751727836603,5.5383802039888,5.5383802039888,7.8865727349355,11.6781593105198,11.6781593105198,11.6781593105198,11.6781593105198,11.6781593105198,11.6781593105198
8,"ALB","Albania",54.5826842136017,54.6941433001967,54.6941433001967,55.681782192417,55.681782192417,55.681782192417,55.7340430173223,56.4782889978703,56.4875290866413,56.5528725652347,59.2283626185007,61.8147102892403,64.62969736875,64.6296973686347,64.6562551614017,64.8736915306913,67.250863565488,68.2374136203457,68.2374136203457,68.2374136203457,68.2374136203457,68.2374136203457,71.6114309481713,71.6114309481713,71.6114309481713,71.6114309481713,71.6114309481713,71.6114309481713,71.6114309481713,71.6114309481713
12,"DZA","Algeria",86.7428587509073,86.7428587509073,86.7428587509073,86.742976257933,86.742976257933,88.9599500014173,88.9599500014173,89.6932120827277,89.8756162305263,89.8756162305263,89.8756162305263,89.8756162305263,99.6636622467967,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.674826457616,99.7086654386753,99.7086654386753,99.7086654386753,99.7086654386753,99.7086654386753,99.7086654386753,99.7086654386753
20,"AND","Andorra",17.9213433226777,17.9213433226777,17.9213433226777,17.9213433226777,59.651661053241,59.651661053241,59.651661053241,59.9197905211893,59.9197905211893,59.9197905211893,59.9197905211893,59.9197905211893,59.9197905211893,59.9197905211893,59.9197905211893,59.9197905211893,59.9197925186633,89.6783005207913,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172,89.678300558172
24,"AGO","Angola",17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,17.0595209235261,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397,34.1140745351397
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",18.1240770660856,18.1240770660856,18.1240770660856,18.1240770662983,18.1240770662983,18.1240770662983,18.1240770662983,18.1240770662983,18.1240770662983,50.720126827874,50.720126827874,50.720126827874,51.4593531785017,51.4593531785017,51.4593531785017,51.4593531785017,51.4593531785017,51.4593531785017,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293,51.4593531799293
32,"ARG","Argentina",17.1591112240804,17.9011789805467,17.9932175059036,19.235409956605,20.5987406567841,21.2866645261366,21.6261029870763,22.524410003315,23.3768852613619,23.8467330516321,24.1235252124583,24.1393610282963,24.2626806859214,25.6178485342169,25.64878520933,25.8751877845879,25.9673145364407,25.9996658834931,26.1605873764821,26.7723968689494,26.7749504643177,26.9297002817828,27.1203424283484,27.1378579541818,27.1378579541818,27.8434505002941,27.8502851766948,27.8502851766948,27.8502851766948,27.8502851766948
51,"ARM","Armenia",99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288,99.995937959288
533,"ABW","Aruba",5.68214625758337,5.68214625758337,5.68214625758337,5.68214625758337,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,43.4266121015403,57.977681320455,57.977681320455,57.977681320455
36,"AUS","Australia",15.9551632563669,16.0923776859781,16.3044478460191,16.9990134214116,18.433303436401,18.5592208086454,23.6074564922145,23.9090561878082,24.309707230667,24.8415933164204,25.6161309651426,28.5636337991234,29.1683167453046,31.468336349847,32.6532294837307,35.1426056125633,40.6967295162283,46.759244913977,51.2319953127517,55.663521800604,57.8412116108247,58.4481679283027,58.928991724429,59.1900936882363,64.0957046051173,71.2337040103767,72.589878742421,72.692196172669,72.692196172669,72.692196172669
