"code","iso","country","KFL.ind.1996","KFL.ind.1997","KFL.ind.1998","KFL.ind.1999","KFL.ind.2000","KFL.ind.2001","KFL.ind.2002","KFL.ind.2003","KFL.ind.2004","KFL.ind.2005","KFL.ind.2006","KFL.ind.2007","KFL.ind.2008","KFL.ind.2009","KFL.ind.2010","KFL.ind.2011","KFL.ind.2012","KFL.ind.2013","KFL.ind.2014","KFL.ind.2015","KFL.ind.2016","KFL.ind.2017","KFL.ind.2018","KFL.ind.2019","KFL.ind.2020","KFL.ind.2021","KFL.ind.2022","KFL.ind.2023","KFL.ind.2024","KFL.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2592293592948,32.4368488168966,33.751271823356,37.5022011323472,38.5319952361394,41.7558000949909,41.9083138935567,42.3747100596501,44.9395517536458,48.9287598836053,51.4242858696824,61.2081992883899,85.0078218141957,82.2135537436749,77.0556334963871,71.8488597462809,70.5473915279231,70.5473915279231,66.9249061536715,66.9286345896229,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9745155889695,18.9807681211716,12.8261198894675,11.0255195847201,12.4970911781515,12.5683774913181,12.937227008995,16.7130440481805,18.9823196108188,20.4270760122174,21.3014778724167,19.7642377029185,23.2895947496963,22.9930983767411,22.0916386708745,20.3810120820125,20.2875163389294,18.6823307633372,20.0450145456098,20.7060073158333,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.955413934842,12.5540854063438,10.5332548040392,8.23259728770775,5.62921493082816,5.86189589345913,4.62736059410291,3.12152967906901,3.47211482826806,4.12716105319582,3.58703904279241,3.86601893992599,0,0,0,0,0,0,0,0,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8900704308351,37.0830944872351,36.762294724574,35.271266371846,43.0574682088123,43.5979356634519,47.712820221312,43.5016787565245,44.6595652933095,45.6166077265687,44.9308377545384,45.1682442486301,48.9421121424306,41.050826655553,38.2347635154335,31.4979770584495,31.2143292376463,29.1112524799953,30.7653024814736,29.2046196989757,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9228526667522,18.9502646879812,16.600906254003,16.3766031838563,14.3418399551337,14.5510678348155,12.6878042890739,13.552055605852,12.7985092941896,13.6559254619768,12.9616805455717,13.166452440932,12.0575884979935,11.7139662529476,11.5172449104759,11.2401935532796,10.1046156496405,9.98226604067713,9.45968199498898,8.86051669949269,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6785280184384,27.2648938027132,23.8107762032954,17.1363273273547,20.7305058517504,20.9566357321959,21.4233739140541,22.9560414233966,34.8576179593733,37.098558691974,37.6074213227116,37.6074213227116,42.8475151688489,49.5909404733186,58.7433258557187,58.7433258557187,35.2706549832748,34.0752720548811,35.2705262140653,35.2705262140653,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6953221574196,18.1296653528787,19.7875622646514,19.4139188422614,16.4055472992248,17.2783328635765,20.0120902944299,19.5250053362974,20.877052470474,30.5112358156734,35.0954912132436,38.097340853634,22.0956094002169,16.9580032292954,17.0421401091248,16.2273675543976,16.1102314905827,22.2258267229379,33.1087597043649,26.0683034407624,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3374010648677,12.1260188169963,10.4776862326738,8.58049470223517,8.41649680800595,8.10526112489038,8.6022613645699,7.13025789741624,7.19086252788597,7.61782064078425,8.23112736119509,8.74670545635868,11.1148511520794,14.1225381619126,15.3243737100336,15.1771457974723,15.3783226240464,13.1940534113863,12.0934805977196,11.5300515190678,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1360046088483,36.9820415496665,38.502294543279,45.8967668218235,41.6024572286047,40.846107235409,40.9548338253948,40.824129651579,40.4928563632058,44.5001351052186,47.2093327951483,49.2429975338708,48.5963077800999,52.6736875659129,54.8502565821004,52.1370588462432,54.4074980628119,63.8045903478356,58.7228172797741,54.404592576741,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5177329387283,10.0309717545089,3.99149766413841,4.62076305173419,4.59466327138765,5.28269578152788,5.74827968984845,14.1657417564194,14.6471494618714,12.0577847243346,10.3630103728366,8.45358120689986,7.49135200945959,8.4631183481622,0,0,0,0,0,0,NA
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3893420231992,11.6872676206804,8.14689841687813,7.59546479121136,7.70297056343716,8.18720184667002,7.17034645976079,10.265890606139,12.5998974730989,14.1489595201124,16.1035651877637,18.0268946525976,16.8210369712755,13.4817394994241,10.5355543706336,8.9066697560361,8.93260057828174,8.94522342057185,9.52246294582933,9.99721337318007,NA
