"code","iso","country","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022","VOE.ind.2023","VOE.ind.2024","VOE.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,39.0810536350138,41.4693509708379,39.9255715414059,40.8965793324816,38.3035012382095,38.9272166520286,38.859148875753,38.6723136977877,37.6488187400277,37.6777443547807,36.5934926567734,36.6583803840981,35.7233882663467,39.7792079980731,38.4353815464611,38.8199677546499,37.2362746621588,36.9173667574191,37.054912602348,37.1336549311439,36.5380091992135,36.599935923352,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,46.7818726652086,50.5295143966873,45.1462658056252,48.8577083141283,47.5920590994029,49.6161781691134,50.1391256458872,46.3324656483478,43.2507743706443,40.7524622451503,49.0243510352213,54.0219917017727,45.7492569961859,49.3848268682148,43.8320080156811,46.7355100415982,46.5082935870244,47.8160813294386,47.0570621385696,47.2360620864707,47.0443663688734,46.0983919437841,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,30.6259291266502,28.8932593429946,30.1392539349159,30.2587739113445,31.2827600454684,34.5242349372177,29.7499730040394,31.1389319543691,28.3827913494326,25.2425617724233,33.2831515995974,28.8019642562191,27.0562754213386,29.8221800544497,29.1181596114812,29.6522409777884,30.7079446873165,29.0375492923494,29.6868443107865,27.9171305097018,29.0679383352336,29.1809027083333,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,42.270450219251,42.7537603379795,49.710454409734,42.6985536214568,50.1923262261405,48.5528467451946,43.1908519254189,46.9592631257547,43.0884544328726,43.4020699721301,47.0784001690949,48.902890407282,45.6164396914057,43.6944687067966,41.5735075561321,43.4282177167007,43.61764777641,43.5621384452978,43.4326213638987,43.0688121376909,42.9232603933904,43.9616504723078,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,9.91555312396001,9.46916557018515,6.57034993589451,9.58357584815209,7.14154782297175,5.43768391765539,7.61444169618811,2.55912248606899,4.92742763777278,4.01549278643678,4.27481963676034,4.70123775310147,3.04090237837796,6.10079662792214,7.85217815440522,7.92495921827295,8.65687949211758,9.37747115099087,9.61655705540623,9.73080520228466,8.07143302764385,8.4106854155809,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,92.9264997290324,95.088725790573,92.7636070031707,92.0385790405019,94.4224781210141,95.6581931940134,95.2297364189791,92.4649551085058,95.2778269341482,94.8044275849869,95.5288087985515,95.8796358584768,94.8237039980984,93.9898434417106,96.5284293141597,96.8758152215335,96.5488216303639,96.64088912302,96.4507055309609,97.1875451390149,95.4891106730906,95.3118522487189,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,79.0533620948093,87.7091777981416,82.655402802168,76.0587698558107,84.3570079284622,88.6758039364803,85.4049243853856,78.8645192179559,85.7688954984059,86.3171171540349,87.5173778509572,87.8782436752826,85.6431001106422,84.1363814450742,90.7908290606024,90.596363797816,90.102342701223,90.5011783094123,90.4001342696088,91.2430899652433,89.6426269890699,89.2325829390302,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,7.62484415271604,9.2070913280424,19.0216794718588,10.9598263697367,11.059512942692,19.7652937243906,15.1136936216134,18.8852364751581,16.6020601500298,13.6237092523579,14.16701439896,16.1065412932812,14.1456269818158,21.8829322795287,20.3712265088563,16.1619015127534,16.1372165892104,17.3324331136408,17.0360628021627,17.3886177525329,16.2949975535626,16.9555117431234,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,47.8878957368859,43.7785592259508,47.3574286457149,39.1136661164541,43.7491612092365,44.2605855916745,49.5926536257651,40.2060925782158,45.8172029155906,45.555139166393,47.1896452745203,41.5004137232451,41.4996265397762,41.2820606038391,35.7070009101531,43.0401914114495,42.4112227953617,42.5621674923252,43.17519618868,43.2332477390287,42.830155883219,42.9057401258079,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,72.8669969794664,72.4771600713497,66.4614513120045,70.9680306739079,70.7518356329054,74.2298617762805,73.4481100366999,66.5458050793012,66.5151998024668,68.4588254204792,69.9368425553122,73.9859281273579,72.2277650264595,61.9211758924453,61.3025146285619,67.9371249592296,65.6392336941725,66.9496507517691,67.5484168281545,66.5146967878303,62.7132224747027,63.3173189111079,NA
