"code","iso","country","BER.ind.1996","BER.ind.1997","BER.ind.1998","BER.ind.1999","BER.ind.2000","BER.ind.2001","BER.ind.2002","BER.ind.2003","BER.ind.2004","BER.ind.2005","BER.ind.2006","BER.ind.2007","BER.ind.2008","BER.ind.2009","BER.ind.2010","BER.ind.2011","BER.ind.2012","BER.ind.2013","BER.ind.2014","BER.ind.2015","BER.ind.2016","BER.ind.2017","BER.ind.2018","BER.ind.2019","BER.ind.2020","BER.ind.2021","BER.ind.2022","BER.ind.2023","BER.ind.2024","BER.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,51.62899293601,49.6753519023461,47.305469374854,47.0314499914761,47.798211965012,46.7251438217347,48.096251248917,47.7227488072249,48.4626713145862,46.5958279032706,47.4393105328757,47.3072151488187,46.7044106656317,46.8193866190552,47.6187103479459,46.2165135825169,47.9090317510022,48.6379480414634,47.6990261512894,45.8303268209658,47.3230954242609,48.574098368564,47.214699151558,48.7348042584342,45.3862848234059,NA
8,"ALB","Albania",NA,NA,NA,NA,29.5219427787702,28.5541005031027,27.4187315955284,27.9479818296638,26.7625321308415,26.8099745511577,27.1801144896149,27.3059363289963,26.6927431970422,26.286161886073,26.3160323719265,26.3880305447512,26.8395383423967,26.3972103609865,26.3135401512625,26.166800608928,25.9657307863848,26.7981855109685,26.6785367685005,26.814200945306,26.5959643202548,26.492652982988,26.5225967407394,25.7265804548874,25.9895108573012,NA
12,"DZA","Algeria",NA,NA,NA,NA,62.7573043144687,62.5708986076047,62.3529630275653,62.3061454492038,61.9764472142557,61.8255551792161,61.7164493991157,61.5667600598201,61.3861163382719,61.2745454314257,61.0752338400393,60.9278420958014,60.8401690246972,60.6777336989418,60.582019553149,60.0183503726361,60.355691717909,60.2699294575979,60.2657591008211,60.1110321260188,60.0298264667704,59.8777850522263,59.7771321898826,59.6063340517083,59.940040091384,NA
20,"AND","Andorra",NA,NA,NA,NA,15.3134590257614,14.4111362609469,14.055431109514,14.4936595640202,13.729616617362,13.5403567586321,13.4735958779381,13.6859281381443,13.4690860460674,13.6767240030479,13.407061045295,13.4897265904693,13.6399860315837,13.3971284565166,13.5124119205455,13.9173408865911,13.3699657618765,13.7527132170928,14.1648687416241,13.6694166208617,13.5498876822277,13.6703374279286,13.7589962191196,13.7720895373226,13.1573981614034,NA
24,"AGO","Angola",NA,NA,NA,NA,85.2214366912782,84.1304518261221,84.6054499645229,82.9751397304025,82.1548932430104,80.9168241410644,80.9774018916515,80.6986101089967,80.9844447597861,81.0521511666236,80.74694163716,79.6075689691596,79.8221638947378,79.0853968195511,79.4683643250283,76.4482736697794,76.1938268911278,76.3055208839935,76.5492641805305,77.3602974341124,76.6893840689571,76.3266617419873,75.801652517616,76.0913245833024,76.0247790675642,NA
660,"AIA","Anguilla",NA,NA,NA,NA,33.0481068532501,32.6931786422408,31.919744184471,31.9492559974058,32.6546930564091,33.0898926231481,33.0311976600045,32.5229824804883,32.4101646083083,32.1299236194521,32.8585351169464,32.8076223204398,32.1159108153855,32.5224608845013,32.3141735892359,31.3084611687177,32.0989311977059,32.3221064510469,31.6419733949563,31.9731755919007,31.8626867347658,31.7790687782028,32.0353607146053,32.0412087986084,32.0476401805624,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,77.5293046834324,76.8893402855381,74.8256917861746,74.6774790482796,74.4921757272652,73.9068530295673,74.2000557832168,73.9811163012,74.198155075878,71.2533110192714,72.0109698694183,72.0977097834204,71.4607663172781,71.5326392453671,71.504536749899,70.1266384309171,70.1141186223734,70.2076301694508,69.7051607974818,70.2903066976765,70.4040566795592,70.0992862248045,70.0065322014292,69.8128882614619,69.3755819036938,NA
32,"ARG","Argentina",NA,NA,NA,NA,47.5901437316607,47.2287802048385,46.4593414667281,45.4635532466838,44.5228499323716,44.5407255282778,43.6565409950397,44.0236438020679,42.7992615008926,41.6020954099726,42.5344044667695,41.5620315961036,41.0391883667533,40.5680189884633,40.7523288479759,39.4959619215766,40.0001331667833,39.5248954297588,40.2506766675784,39.60114135729,40.0893579969609,39.6570330650607,39.1050837097831,39.4824695275441,40.4123476133071,NA
51,"ARM","Armenia",NA,NA,NA,NA,37.7048849526473,37.7364064699113,35.3183947884084,36.7660553416207,35.040431434991,35.0582626269016,34.8930284220726,34.6184260057412,34.83631642238,34.5865771437708,34.1946854784844,33.2021442975451,34.6835151076117,33.8506247086715,33.753597520828,33.8887708668391,33.7013768597259,33.2704990098179,35.7312962320514,33.6415246070307,35.0134857693019,33.9999974207678,33.2903734426802,34.2097300607394,33.3280642306047,NA
533,"ABW","Aruba",NA,NA,NA,NA,64.6999859726574,62.3827909426767,62.0642874444303,65.2075218348565,54.149288855976,53.9318261629494,53.215096185386,52.9380859796927,53.0113258652918,50.6575622202997,52.950477149529,53.6889351469491,51.9873608775538,47.8785002990573,44.5229825762158,42.3853959960185,43.8240538372913,40.6421822318573,39.0306677804017,37.8639715878248,39.2642824341526,35.4701267808048,33.392218005046,32.8679093921349,32.5456900543951,NA
