"code","iso","country","PAR.ind.1996","PAR.ind.1997","PAR.ind.1998","PAR.ind.1999","PAR.ind.2000","PAR.ind.2001","PAR.ind.2002","PAR.ind.2003","PAR.ind.2004","PAR.ind.2005","PAR.ind.2006","PAR.ind.2007","PAR.ind.2008","PAR.ind.2009","PAR.ind.2010","PAR.ind.2011","PAR.ind.2012","PAR.ind.2013","PAR.ind.2014","PAR.ind.2015","PAR.ind.2016","PAR.ind.2017","PAR.ind.2018","PAR.ind.2019","PAR.ind.2020","PAR.ind.2021","PAR.ind.2022","PAR.ind.2023","PAR.ind.2024","PAR.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,7.5809292,8.326621,8.4924922,8.638134,8.7293698,9.043901,9.1087188,9.302461,10.748705,10.9032828,11.0026464,11.113778,11.1574132,11.3217292,11.4698734,11.5565728,12.2938486,12.4504884,14.1406436,14.8665388,15.5471548,15.990061,16.0661308,16.1949724,16.222513,NA
8,"ALB","Albania",NA,NA,NA,NA,18.8477446,19.7527056,21.126604,21.5511931576952,22.1777470696536,23.1275636579886,23.4184442,25.0039176414516,26.1461500718808,26.7968048879614,27.4976357849604,28.0840635522234,28.4357767650792,29.1341656302336,29.596677556664,30.1554623782616,30.4730710161606,30.7831771723434,31.5869630444266,31.9088330528826,32.3301767918154,33.4562777612298,33.6341576473268,33.809227120139,33.8658333582594,NA
12,"DZA","Algeria",NA,NA,NA,NA,16.0695138,17.0060864,17.110608,17.4613978,17.5750054,17.8516162,17.931311,18.4276566,31.6191604820602,31.6620738097504,31.761816,31.832152728715,31.8547214496106,31.8841393735302,31.9955152788324,32.1405843565766,32.414751767775,32.4875219204038,34.900685649941,35.3958643227554,35.48605595005,36.7449384562814,36.7722629654164,37.0358316365162,37.0424925071288,NA
20,"AND","Andorra",NA,NA,NA,NA,47.9901406,50.093103,50.7545096769796,51.6504640675368,58.7614387381884,59.2614186,60.8938206,63.3890239674606,63.9003645972522,67.2165346757252,67.9873905767828,68.6725774058516,68.9989764092694,70.5884951533684,73.3994403414538,74.1036358464174,74.775798374746,75.1249238920914,75.6863204724542,76.1270207592206,76.7441254,77.8490366,78.4262482871388,78.6577937257878,78.781491796694,NA
24,"AGO","Angola",NA,NA,NA,NA,19.1527754,19.3256942,19.8301224,20.1659109071252,20.327952721841,20.6698315693882,21.2981301245694,21.7675446,22.0547546,22.2512702181328,22.3603086332546,25.850381724787,26.1173418274008,26.2503716487744,26.4941446,26.6353454116534,26.6661883568166,27.0552037740418,27.1238312219404,27.273612212971,27.2787811567298,27.2874035616084,27.3306904191328,27.3360668808936,27.3423459206516,NA
660,"AIA","Anguilla",NA,NA,NA,NA,23.0982090706034,23.6435124305004,23.8824996314298,24.3223926152346,25.4985568019252,31.8479325095408,32.6349277004812,35.0848454,35.3591672385344,35.9765232514222,36.6100305632114,36.8365634154646,36.8698690379838,36.888581450871,37.352752904591,37.6847138430988,37.7402499933578,37.7565544405662,37.8361568231166,37.8459320066074,37.8516887042782,37.8778954641906,38.0024975091362,38.0084040211956,38.0087753610336,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,29.8496486884238,30.4572886,30.793202399192,31.1553669366518,31.9983827040418,46.4667198414682,47.2907475917142,47.7279223036478,48.1042248331876,48.8188681149992,49.3559641997866,49.7121100334894,49.7345628,49.747935226335,50.3485845215626,50.6089962162864,50.9395715738872,50.9524287768096,51.0605005802294,51.0737209527736,51.07897481401,51.0957197017872,51.2568854139966,51.2622487552882,51.2629193106308,NA
32,"ARG","Argentina",NA,NA,NA,NA,7.753881,8.3015382,8.7611304,9.2065356,9.4725348,9.7759888,9.8976462,10.2195864,10.3290676,10.5719342,10.618245,10.7351664,10.7884826,10.8160642,11.0886068,12.0789518,12.0893178,12.2255924,12.3601002,12.4510928,12.4557928,12.6049334,12.6146086,12.645582,12.6457254,NA
51,"ARM","Armenia",NA,NA,NA,NA,19.816798,20.5197901238664,21.0536124683984,21.2888475688474,21.5588179154346,22.0669487458514,22.233630554152,22.8723322,23.3649548392386,23.636825717157,23.8862341183548,24.436626190485,24.5250603005944,24.6919114591366,24.8268505120712,25.0215199746614,25.2216415097452,25.359100573084,25.74672713355,25.9338762557138,26.149415247923,26.6302781606614,26.7502464097668,26.883275824346,26.9287272629194,NA
533,"ABW","Aruba",NA,NA,NA,NA,41.3951452,41.4889027471038,41.6061623088548,41.6267636,41.6864240512056,41.8900357350508,42.3124811537284,42.399623441815,42.4179557472126,42.5841510091768,42.6151154651126,42.7693848931648,42.7911096188238,43.3230360902486,43.7720648004568,44.7509954547272,44.753054956605,44.7721351657584,45.067583303466,45.106530599177,45.126055945139,45.1438256,45.2931713437218,45.3737456724804,45.3743960236602,NA
36,"AUS","Australia",NA,NA,NA,NA,9.1126916,9.216496,11.2281026,11.484889,11.7231074,12.0225966,12.5270864,14.1286824,14.4989584,16.071226,16.7849224,18.0238946,20.6259317149612,22.8034716,24.525232878849,26.3296725716252,27.5109798,27.8325576579796,28.1394799876486,28.3087622181694,30.4796964364384,33.5094560113772,33.9320304733618,33.9817227704662,33.9817227704662,NA
40,"AUT","Austria",NA,NA,NA,NA,29.2268548171952,30.6191303671718,31.7392112448362,33.1211463657282,35.5416826562438,36.2958118587074,37.3380665657568,39.2902526,39.7282872428434,40.6535250184918,41.3331637520986,41.9015910227828,42.5255975066738,43.3254052,43.8080248392474,44.2000181313974,44.8876549899598,45.1183465761326,45.5594370546592,46.2304594173872,46.4797433739104,47.0073674465532,47.8634384835446,48.136900069354,48.2907290382792,NA
