"code","iso","country","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024","OEB.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,17.2022277767812,17.5331173360748,16.3525623067787,13.9683722404325,18.7355492439593,18.6956418763773,17.946281871013,18.3011187058514,17.2599912431477,12.8307095302246,19.3985687592098,23.4951848158052,21.0885370241193,21.8391588936014,18.4801712922068,14.6532058999433,12.0583858792755,13.7895378611342,14.4493452037073,17.9725615876366,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,24.7827068041379,30.3473747267229,21.6443900164723,26.7437035287384,25.0659922981816,24.0744624099794,27.7888362972486,24.9336887588339,30.8467629061005,26.9195066988827,25.7331552192392,31.1935730830985,31.2368125628923,29.3125370804583,19.221331730079,22.514058908171,16.4456060504281,19.4373131690363,21.1184185257808,25.8788977396792,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,23.3500531354512,27.5028639396713,25.4151488678457,25.3992096237256,23.1142590849514,25.3660911627103,25.7626461658971,29.3786145070877,25.4697676041789,23.3622583250581,25.8067235067206,29.7959771959571,28.7345927959849,31.0304320780603,27.8137236562314,24.5093690021571,18.553223526216,19.6863271905283,21.8766513542083,18.7463354282427,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,45.000895516053,51.0475705393097,41.2485974535216,41.387674971917,45.6665029915517,46.8427710253543,43.9274820814329,44.801133473011,44.6402166510295,42.7503880216392,44.4455219885857,46.9473757878434,45.9002001213509,46.1896884820056,42.8203311235822,43.6562243593946,37.4079722222278,45.6169771357935,47.6216153326733,47.2503436036113,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,73.858338803689,72.6158552649171,70.5197199492831,72.6991690948204,68.490800230476,68.0695496084646,70.3635135814426,70.4119177091061,66.5034365849365,69.141197739983,69.280048210296,72.8233030561444,71.534466763597,73.5239243381744,71.7262746605049,75.3450503241472,69.729743956365,71.0187335850138,68.1311080559286,68.9159372873728,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,40.6728302020426,39.3872219491498,41.3306617380371,41.4264753894876,44.2495862508397,36.3285587653487,40.4487251734992,44.3718192979565,41.148750169842,42.2035108076112,38.119753941549,44.2243673177963,44.6311709868982,47.5914231804494,39.4528574025933,29.1699427516535,33.0300242881382,34.5004108962218,34.3142973543099,34.9129360850541,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,41.6299548085742,42.2835597108267,42.8976089087598,42.2433815969305,44.8992684561281,37.7297674049759,42.2675916552612,47.4581050187716,43.7565998124472,44.0266804637358,39.8666819698993,45.1146613657113,45.085425547014,48.8112063025499,40.8084051893311,30.0464417412857,34.2276917798303,35.9743038368378,35.5407037809526,36.1383277674253,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,86.1331656314575,87.0075757219401,77.3075690567615,81.5815684638009,80.8870698675855,76.2180797069431,79.2657244498906,77.5333664012643,79.6363198358197,80.3358132535561,79.820577706801,80.8684007856347,83.4488278912211,80.9835020136721,76.9161301916437,78.6176973697902,74.4821358230349,68.3471384178393,76.5762631528905,76.7261530155322,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,41.1328731417574,40.5430743646045,37.3045464259086,37.9451315979267,40.2207664294637,40.5864479601848,41.816378949628,40.7263076461463,42.6838786472003,40.8759276585694,40.8436715272963,45.4488906672791,43.2231314839765,45.0948375879683,38.86541180034,35.7444241852851,34.6323802503598,35.2611207360622,34.0311147130366,37.2252667430489,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,43.7093404896467,44.9493274149094,42.8634558912072,46.7780183335782,45.1926436946776,41.7400125029664,46.5414608478004,47.4728096532412,44.1043253099614,47.7816301064291,44.0522433033943,47.3920931032031,44.6042156324321,45.9997323111563,41.3368737345221,37.937908418551,38.9293245203248,39.6506483836374,43.142427764595,41.9201107658362,NA,NA,NA
