"code","iso","country","COE.ind.1996","COE.ind.1997","COE.ind.1998","COE.ind.1999","COE.ind.2000","COE.ind.2001","COE.ind.2002","COE.ind.2003","COE.ind.2004","COE.ind.2005","COE.ind.2006","COE.ind.2007","COE.ind.2008","COE.ind.2009","COE.ind.2010","COE.ind.2011","COE.ind.2012","COE.ind.2013","COE.ind.2014","COE.ind.2015","COE.ind.2016","COE.ind.2017","COE.ind.2018","COE.ind.2019","COE.ind.2020","COE.ind.2021","COE.ind.2022","COE.ind.2023","COE.ind.2024","COE.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,52.5829738755432,53.8229081629065,51.4277852319107,52.2301246210719,50.812000687533,52.4841585133021,52.677202847166,53.180363590704,54.3187191735497,50.3863641556419,51.3842622638065,52.5813444873984,51.6511058162205,51.1790482212712,50.3367212573356,52.654221255591,49.7923737169573,48.7802240760592,50.1704050330341,50.6225174147591,50.6312008366963,49.7192896431261,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,50.0892664253003,54.0090365508003,53.1204200830473,54.3732796231594,49.2240338243508,56.8561435761712,58.5482992626633,58.7189025436326,55.7327576977427,53.3653869377674,60.0205345736809,61.1029022137979,58.6967678873551,61.9430216330485,60.3643219336128,62.8868868248698,63.820222565218,63.5954836311255,62.0819331051773,64.8290959200351,63.5369093096068,62.4635463695521,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,55.3122793629359,55.7329261041223,55.156555408448,54.9505346124826,51.6734819503733,55.7486195854657,55.8919193029242,56.0294318115613,53.8849283427705,44.8556363101638,54.3421707950893,50.5461508888253,47.4412595082398,46.6825253480483,45.0689770317772,48.9240025646976,47.8439507439835,42.7562599289549,42.2617480817389,43.0147228592957,43.4886100729522,44.4981196913983,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,49.5424874264398,52.4024169113747,52.9587878034156,53.3746887862002,54.0780897268093,55.8787048583059,57.4682076629598,57.5527253755885,58.0315414284257,57.6067204412694,59.0699780919945,59.9124595547326,59.0282639520201,59.8122563111615,59.7063448015283,60.9435259830419,61.6344812660279,61.4612621575831,60.4656085271712,61.6132349479671,59.9724313662268,60.3458052967305,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,34.0846180003198,34.0045961200215,33.7779917409066,35.5320982447933,33.9792046178063,34.8017521252227,37.2570483683146,35.1682403589063,33.8050624443963,38.4793370251134,37.8596004599206,41.1726418765877,36.7634964648818,37.2659189135979,42.7719299044517,43.672225163985,40.6127612427731,41.6677151350284,43.4821517687018,43.5216226548037,39.7900381594231,38.6570128709801,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,77.2313391373343,79.3915080353383,78.9148101399213,79.3505945843609,80.5187930746,81.2295613618537,83.5651920552337,81.2789369391472,83.6550173715224,82.5725879957341,83.407163748806,85.0754602788633,84.1411040501966,84.5525290377406,84.8162930460508,85.6860730697293,86.6582435352131,84.901738298221,83.953942863515,86.5328747236578,83.6441085782948,83.0676698331192,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,72.6741665836514,79.3845607776463,78.17596282342,73.2588022351276,79.1263328987378,81.1266893831941,81.8155938783772,79.0000832955557,83.1160832510517,82.2743646203815,83.0334183442032,84.6871132308209,83.4312392806019,83.6944440845653,84.6642403408701,85.2578980329343,86.2889585412259,84.3856503454858,83.5831022289459,86.283041989322,83.2812553348615,82.499463915919,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,60.8839700640242,64.0398319765789,65.2711799913663,62.724182113242,61.3872758550698,63.0047895764041,65.8810878950121,67.2325626425054,68.5460796620289,65.7797245374075,66.8059135310699,68.6509237798276,67.5677827672181,68.8927751764757,68.073681142587,68.5465520684476,67.0975300082005,62.2617512175023,67.8453030576553,64.8940219683938,66.4763160594651,64.0701964612254,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,54.3610487374131,56.1164955026715,55.3663898502482,55.9309412365929,56.6462192323029,57.6679352656964,59.6998671295949,57.3619686736613,59.2113044592973,57.5259700627793,58.7923663529109,59.295248899517,58.2975286290332,57.6808039266388,57.2772192461615,59.2843249768865,57.8221335461718,58.4895817543404,57.79954330913,60.0584241404375,58.8088498461677,58.6016793630338,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,77.7818056672008,79.2062687543222,77.2499434423985,80.1781920094401,79.130843644036,81.3760398106568,83.0977133834665,79.0973197807747,81.2537002722666,81.6662805767896,81.3218557776615,83.7532682358809,81.7916825229176,80.9996596099851,79.8535134429443,82.7660914127349,82.330251839914,79.9457588198603,81.5360460492012,82.4516655407112,77.5616453208501,76.361168188616,NA
