"code","iso","country","RLI.ind.1996","RLI.ind.1997","RLI.ind.1998","RLI.ind.1999","RLI.ind.2000","RLI.ind.2001","RLI.ind.2002","RLI.ind.2003","RLI.ind.2004","RLI.ind.2005","RLI.ind.2006","RLI.ind.2007","RLI.ind.2008","RLI.ind.2009","RLI.ind.2010","RLI.ind.2011","RLI.ind.2012","RLI.ind.2013","RLI.ind.2014","RLI.ind.2015","RLI.ind.2016","RLI.ind.2017","RLI.ind.2018","RLI.ind.2019","RLI.ind.2020","RLI.ind.2021","RLI.ind.2022","RLI.ind.2023","RLI.ind.2024","RLI.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,76.0219702076519,75.915787305995,75.8321280501441,75.7549041216663,75.7098568300543,75.6873331842483,75.6841155205617,75.7098568300543,75.7452511306066,75.7581217853529,75.7452511306066,75.7259451484871,75.7034215026811,75.6841155205617,75.6615918747556,75.6487212200094,75.6294152378899,75.613326919457,75.5940209373376,75.5747149552182,75.5554089730987,75.5328853272927,75.5071440178001,75.4878380356807,75.4653143898746,75.4460084077552
8,"ALB","Albania",NA,NA,NA,NA,69.9920684590126,68.2995773598747,66.6199569154832,65.2331438665699,63.7465832433728,62.5013473966687,61.3011588415767,60.1170586049175,58.9136523861389,58.2829903035705,57.6458928936288,57.018448474747,56.4103100379845,55.8504365565206,55.2680394292508,54.7564309030856,54.164380784756,53.5691130027398,52.9513215749176,52.3367478107821,51.725391710333,51.0979472914511,50.4865911910021,49.8398407900008,49.2284846895518,48.6943525175805
12,"DZA","Algeria",NA,NA,NA,NA,69.0235516893539,67.9585050090979,66.6231745791698,65.368285741406,63.8463308176566,62.5303063698479,61.3976887521739,60.1395822507236,59.2289834274232,58.392390868914,57.6716342031215,56.8865242635974,56.2204678804767,55.5704998157888,54.9301847421605,54.2995226595921,53.6946018865162,53.0446338218283,52.442930712439,51.7672213382585,51.1236886009437,50.6024270837188,49.9074117274188,49.3507559096415,48.7522704639388,48.282491565699
20,"AND","Andorra",NA,NA,NA,NA,91.7724339534308,91.7434749802516,91.7016453523261,91.6598157244006,91.5858094596095,90.6462516631299,89.6841702208444,88.7285241059319,87.7793133183926,87.708524717288,87.663477425676,87.6119948066908,87.5379885418996,87.2870107743468,87.0199446883612,86.7625315934353,86.5791247633006,86.5244244806288,86.4954655074497,86.4922478437631,86.4922478437631,86.4793771890168,86.4793771890168,86.4665065342705,86.4600712068974,86.4439828884645
24,"AGO","Angola",NA,NA,NA,NA,92.570414547701,92.5543262292682,92.525367256089,92.4996259465964,92.4996259465964,92.502843610283,92.4899729555367,92.4771023007904,92.4835376281636,92.4738846371038,92.4674493097307,92.4095313633724,92.37413706282,92.3419604259543,92.2454305153571,92.1939478963719,92.1392476137002,92.1135063042076,92.1006356494613,92.0974179857747,92.0909826584015,92.0974179857747,92.087764994715,92.087764994715,92.0748943399687,92.0781120036553
660,"AIA","Anguilla",NA,NA,NA,NA,59.5539674597671,57.3788268076432,55.0621089533101,52.5491136140959,50.32892567036,48.0315137981463,45.7373195896191,43.5557436101221,41.4256502496102,41.2229374373561,41.0813602351468,40.9751773334899,40.846470786027,40.6823699380117,40.4796571257575,40.2608559950705,40.1257141202344,39.9873545817118,39.9004776621743,39.8489950431891,39.8007300878905,39.7428121415321,39.7428121415321,39.7395944778456,39.736376814159,39.713853168353
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,62.6461422625646,61.0115691097851,59.3609076385727,57.7392051405395,56.1014143240734,54.4539705165476,52.8161797000816,51.2041301931081,49.5566863855823,49.5084214302837,49.4762447934179,49.4472858202388,49.4054561923133,49.370061891761,49.3378852548953,49.2928379632832,49.2542259990443,49.218831698492,49.1866550616263,49.151260761074,49.1223017878948,49.0965604784022,49.0740368325962,49.0450778594171,49.0161188862379,48.9935952404319
32,"ARG","Argentina",NA,NA,NA,NA,55.7506889822369,55.6766827174457,55.6026764526545,55.5286701878633,55.4385756046392,55.3613516761614,55.3098690571763,55.2583864381911,55.2165568102656,55.1875978370865,55.1328975544147,55.0942855901758,55.0492382985638,54.9977556795786,54.9366200695337,54.8690491321156,54.8690491321156,54.7886075399513,54.7596485667721,54.6727716472346,54.6727716472346,54.6405950103689,54.5858947276971,54.5665887455777,54.5376297723985,54.4571881802342
51,"ARM","Armenia",NA,NA,NA,NA,55.8697425386401,55.7893009464758,55.734600663804,55.6155471074008,55.4128342951466,55.213339146579,54.94949072428,54.7274719299064,54.4797118260402,54.2255163948009,54.0195859188602,53.8554850708449,53.688166559143,53.5626776753667,53.4951067379486,53.4178828094709,53.3181352351871,53.1701227056047,53.0253278397089,52.6295552062603,52.1951706085728,51.5387672165117,50.7633102680474,49.9395883642845,49.4730271297314,49.1094311331485
533,"ABW","Aruba",NA,NA,NA,NA,68.2416594135164,65.9217238954967,64.8341535694348,63.1931450892821,61.6583195107864,59.9819167300814,58.4728324610783,57.0216661384335,56.7739060345673,56.6741584602835,56.6001521954924,56.4907516301488,56.368480410059,56.194726570984,55.9920137587299,55.7860832827892,55.6219824347739,55.493275887311,55.387092985654,55.3002160661165,55.2229921376388,55.1393328817879,55.0814149354295,55.0556736259369,54.9784496974591,54.9366200695337
