iso,country,PMD.new,HFD.new,OZD.new,NOD.new,COE.new,SOE.new,VOE.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,SMW.new,BDH.new,MHP.new,MKP.new,MPE.new,TBN.new,TKP.new,PAR.new,PAC.new,SPI.new,SHI.new,RLI.new,BHI.new,BER.new,FSH.new,FCD.new,BTO.new,BTZ.new,RMS.new,FOR.new,TCL.new,KFL.new,GRS.new,GEL.new,KGL.new,APO.new,NXA.new,SDA.new,AGR.new,SNM.new,PSU.new,RCY.new,PRS.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,NDA.new,FGA.new,BCA.new,GTP.new,GTI.new,GHO.new,LUF.new,EPI.new
BGD,Bangladesh,16.23,7.06,0,80.3,0.82,17.8,14.94,32.91,33.28,17.21,17.21,58.45,58.45,24.51,70.1,31.56,6.74,14.01,23.87,4.47,2.05,19.02,63.68,39.71,0,0.71,55.99,55.83,60.63,58.01,49.48,5.43,8.35,0,14.18,25.78,0,0,0,0,40.8,53.83,26.27,11,56.59,16.34,16.34,30.46,30.46,27.6,44.45,34.63,8.29,42.46,35.2,36.69,0,30.29,23.46
BRB,Barbados,37.17,100,100,31.35,81.57,91.39,95,62.33,58.27,71.34,71.34,84.54,84.54,9.45,0,0,72.04,1.59,1.68,44.41,0.66,0.76,NA,27.98,36.98,0,84.58,75.97,100,100,62.34,19.11,22.17,13.44,11.38,20.69,0,48.77,50.18,47.37,28.05,35.79,20.21,NA,13.47,48.21,48.21,48.73,48.73,50.97,47.02,42.42,NA,54.78,40.98,50.08,41.87,100,41.43
BLR,Belarus,27.34,90.47,70.4,72.31,63.23,50.42,63.59,71.01,73.68,10.73,10.73,99.99,99.99,39.29,NA,NA,NA,30.03,71.21,23.35,7.4,60.49,45.56,100,28.79,9.63,NA,NA,NA,NA,NA,12.97,10.53,17.5,NA,NA,NA,65.59,82.77,48.41,35.04,28.33,42.26,6.3,73.14,83.31,83.31,47.02,47.02,53.96,51.33,44.93,41.4,68.51,33.48,47.56,43.26,42.26,47.03
BEL,Belgium,73.81,95.7,44.61,45.04,58.98,56.22,66.18,91.67,89.76,83.76,83.76,98.14,98.14,43.13,NA,36.36,4.07,54.51,49.54,37.26,9.09,89.68,18.23,88.27,16.29,0,16.75,10.44,3.83,0,52.72,6.6,9.92,0.43,NA,NA,NA,97.16,100,94.32,38.96,43.98,29.85,NA,61.63,85.37,85.37,61.17,61.17,62.6,60.74,74.55,73.74,100,44.97,63.07,77.2,26.28,60.08
BLZ,Belize,23.43,33.53,45.41,38.14,67.44,81.42,17.98,53.33,50.53,60.14,60.14,0,0,60.91,40.89,31.56,100,94.78,43.11,67.3,58.65,89.74,NA,54.95,73.21,72.09,75.68,51.53,100,100,51.2,5.27,5.81,4.26,19.1,17.24,21.36,43.46,40.89,46.04,48.13,66.8,30.7,6.94,42,31.04,31.04,34.32,34.32,40.26,34.4,4.17,NA,49.42,33,36.64,6.93,16.8,41.35
BEN,Benin,31.38,9.71,23.35,77.78,38.33,60.09,21.4,18.49,19.87,49.32,49.32,25,25,67.02,NA,NA,NA,100,100,34.67,25.35,83.42,100,93.41,24.86,16.16,75.99,99.98,97.94,76.86,29.18,9.99,6.58,16.32,44.2,41.79,47.14,51.6,59.1,44.1,68.57,49.43,100,5.38,71.72,6.69,6.69,28.73,28.73,40.66,18.88,0,8.29,43.58,31.38,28.57,0,0,39.85
BTN,Bhutan,3.72,34.54,0,100,15.31,39.61,12.27,25.88,36.23,42.75,42.75,66.05,66.05,63.97,NA,NA,NA,80.15,77.79,38.14,59.59,66.39,100,67.5,51.49,41.6,NA,NA,NA,NA,NA,37.02,36.74,37.55,91.88,91.93,91.82,46.24,41.34,51.14,43.54,26.49,65.73,5.12,74.89,48.76,48.76,45.4,45.4,47.78,52.97,37.7,NA,46.38,42.37,47.07,33.19,30.06,47.74
BOL,Bolivia,14.03,31.29,43.73,38.39,43.37,86.64,0,50.81,51.48,41.45,41.45,78.99,78.99,55.9,NA,NA,NA,84.95,56.82,30.39,38.14,69.24,2.22,56.81,69.89,67.75,NA,NA,NA,NA,NA,3.76,4.83,1.76,69.01,71.35,66.14,39.67,35.14,44.19,73.68,58.11,97.02,NA,42.75,14,14,28.27,28.27,34.08,34.63,0,26.5,63.01,24.69,25.61,0,35.6,39.25
BIH,Bosnia & Herzegovina,11.52,33.1,40.16,79.94,59.1,32.07,34.92,72.48,70.78,39.06,39.06,78.37,78.37,39.96,NA,NA,NA,30.72,82.48,33.66,9.43,46.81,60.53,44.14,25.34,20.3,NA,NA,NA,NA,NA,24.39,32.15,9.98,27.78,22.84,33.82,70.77,90.74,50.8,43.13,40.46,50.75,0.02,52.09,65.31,65.31,47.89,47.89,52.2,58.02,57.79,26.6,83.82,35.52,44.54,43.29,100,42.88
BWA,Botswana,30.57,34.59,33.93,99.45,62.91,45.51,13.52,26.94,29.49,61.67,61.67,76.32,76.32,68.56,NA,NA,NA,82.26,78.79,42.82,43.38,94.24,87.42,93.9,55.07,55.12,NA,NA,NA,NA,NA,53.72,54.38,52.49,100,100,100,86.32,72.65,100,32.4,6.52,57.06,NA,93.76,36,36,37.2,37.2,37.26,66.32,46.03,8.29,50.55,34.47,41.64,19.7,0,51.77
BRA,Brazil,35.13,52.58,35.95,28.42,53.43,43.19,13.85,56.33,57.34,67.35,67.35,79.9,79.9,56.88,44.58,70.95,53.34,76.74,59.83,32.49,52.73,68.29,28.41,30.31,63.22,49.37,42.64,11.32,57.09,53.6,48.54,9.9,11.59,6.75,44.77,39.74,50.92,70.93,65.55,76.31,58.76,77.61,30.71,100,53.48,43.41,43.41,41.5,41.5,53.75,37.11,10.98,30.9,67.47,33.34,41.67,22.83,22.34,48.27
BRN,Brunei Darussalam,49.9,79.1,68.07,51.65,36.8,55.76,0,87.79,84.02,94.72,94.72,100,100,38.83,0,0,NA,100,44.45,14.85,29.33,87.15,NA,44.78,64.12,100,40.66,31.58,49.06,33.24,48.76,24.15,23.95,24.53,NA,NA,NA,1.47,2.94,0,5.85,0.89,10.7,0,22.43,68.14,68.14,14.81,14.81,9.91,75.23,0,14.83,76.33,0,8.71,0,29.91,37.71
BGR,Bulgaria,12.78,54.61,53.47,70.76,57.86,16.58,42.47,86.37,69.68,37.85,37.85,94.04,94.04,72.02,NA,88.47,0,99.94,99.23,37.73,44.95,94.86,66.91,74.17,17.38,12.09,28.78,52.73,9.43,2.95,50,26.45,27.81,23.91,41.75,39.45,44.56,94.85,89.7,100,60.91,61.46,66.16,4.29,70.08,74.64,74.64,64.18,64.18,71.41,63.62,42.42,21.63,68.96,53.44,66.64,97.43,100,59.77
BFA,Burkina Faso,41.54,11.31,33.62,84.45,50.69,74.91,15.23,21.97,23.33,54.1,54.1,17,17,53.98,NA,NA,NA,55.31,88.86,29.14,17.99,83.89,100,94.74,8.7,3.63,NA,NA,NA,NA,NA,NA,NA,NA,47.74,46.91,48.75,21.45,21.18,21.73,67.46,41.97,100,39.3,90.22,2.14,2.14,21.22,21.22,10.42,37.28,39.99,8.29,42.67,34.83,22.13,0,NA,35.24
BDI,Burundi,47.98,6.44,36.79,79.1,19.53,33.83,17.81,14.19,15.13,46.87,46.87,12.53,12.53,37.68,NA,NA,NA,26.44,89.44,24.93,3.9,39.04,NA,70.27,41.5,29.22,NA,NA,NA,NA,NA,22.51,17.31,32.16,14.29,14.29,NA,35.36,32.45,38.26,52.68,53.91,54.6,0.68,77.07,0,0,10.28,10.28,0,17.32,0,8.29,43.56,23.72,10.28,0,14.36,24.39
CPV,Cabo Verde,27.41,24.97,52.19,66.26,78.36,87.92,94.1,33.52,35.8,50.43,50.43,5.1,5.1,19.54,3.02,5.85,15.53,49.71,9.21,21.82,16.32,24.34,NA,62.29,43.81,42.81,52.63,34.82,100,61.13,14.56,NA,NA,NA,82.7,73.51,93.93,12.33,5.51,19.16,27.55,7.04,50.15,NA,51.85,16.47,16.47,39.53,39.53,41.61,34.29,60.9,NA,27.58,40.57,42.11,13.97,NA,32.75
KHM,Cambodia,40.65,10.25,30.24,65.04,45.77,45.42,7.02,40.96,41.66,36.97,36.97,54,54,62.39,NA,63.1,0,100,72.61,33.73,50.15,89.56,38.44,28.24,22.02,32.49,40.98,85.91,16.02,10.72,51.26,3.26,4.04,1.81,5.28,0.42,11.23,0,0,0,70.28,54.62,100,10.86,48.61,46.79,46.79,12.46,12.46,0,37.08,53.85,8.29,46.61,15.87,12.86,0,11.51,31.21
CMR,Cameroon,13.88,9.27,22.67,70.99,38.2,47.64,4.58,15.78,16.33,34.43,34.43,32.85,32.85,36.88,NA,NA,NA,33.06,67.72,24.68,16.53,30.59,29.7,49.11,63.76,72.16,70.6,89.45,88.06,76.19,28.71,18.3,12.79,28.51,42.62,38.06,48.19,48.51,48.52,48.5,65.98,45.97,100,0.83,59.06,0,0,44.09,44.09,51.12,53.74,35.32,10,32.26,46.2,44.47,27.8,38.33,34.9
CAN,Canada,82.98,100,51.13,16.76,57.65,41.76,56.47,86.74,93.95,90.35,90.35,100,100,36.41,23.92,13.94,34.04,40.08,41.13,25.33,14.99,76.2,42.51,88.36,89.69,100,41.71,54.72,34.47,27.97,49.66,5.35,7.78,0.84,90.93,89.67,92.47,86.98,80.62,93.35,60.67,60.11,59.84,100,33.57,68.3,68.3,48.04,48.04,53.88,58.37,32.88,54.58,100,24.26,49.9,47.33,56.44,57.78
CAF,Central African Rep.,33.07,2.32,6.94,70.38,32.9,78.44,0,4.54,4.8,32.95,32.95,5.52,5.52,49.82,NA,NA,NA,39.75,67.54,25.92,30.06,66.76,44.62,93.07,73.34,100,NA,NA,NA,NA,NA,30.47,28.28,34.53,92.32,86.04,100,31.91,34.37,29.45,62.94,30.22,100,NA,93.71,0,0,17.78,17.78,3.83,33.31,69.36,8.29,53.22,39.47,0,17.46,45.29,31.53
TCD,Chad,19.65,3.96,24.42,94.66,53.47,85.78,0,1.54,1.65,28.03,28.03,19.83,19.83,51.44,NA,NA,NA,61.48,71.85,28.41,21.37,72.02,79.57,82.51,35.91,34.33,NA,NA,NA,NA,NA,0.64,0.98,0,76.43,74.16,79.2,23.41,7.58,39.25,60.69,28.02,100,NA,72.98,2.35,2.35,14.52,14.52,34.53,0,0,8.29,42.9,6.71,0,0,0,27.65
CHL,Chile,36.07,63.25,62.13,26.84,24.88,1.08,27.67,73.52,74.05,89.68,89.68,92.68,92.68,41.44,44.31,15.79,91.25,56.13,58.51,30.71,36.03,29.9,63.2,25.19,70.51,89.64,85.46,88.11,94.34,98.8,60.58,21.14,16.93,28.95,84.43,84.03,84.93,55.46,46.27,64.65,36,40.14,34.41,0.03,43.18,87.89,87.89,44.47,44.47,53.6,42.82,63.28,5.04,69.96,35.81,47.36,29.66,46.96,50.95
CHN,China,10.65,41.79,24.96,56.17,4.56,0,29.5,66.71,68.39,45.35,45.35,93.26,93.26,10.6,7.97,18.35,31.87,2.89,3.98,5.8,1.66,10,71.91,45.15,29.9,28.06,40.55,66.32,24.67,25.29,45.94,18.61,17.76,20.18,84,81.65,86.86,92.35,84.69,100,50.24,58.61,32.27,100,60.5,64.03,64.03,29.69,29.69,32.95,45.9,32.41,28.69,88.74,13.8,25.12,0,100,33.88
