iso,country,PMD.new,HFD.new,OZD.new,NOD.new,COE.new,SOE.new,VOE.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,SMW.new,BDH.new,MHP.new,MKP.new,MPE.new,TBN.new,TKP.new,PAR.new,PAC.new,SPI.new,SHI.new,RLI.new,BHI.new,BER.new,FSH.new,FCD.new,BTO.new,BTZ.new,RMS.new,FOR.new,TCL.new,KFL.new,GRS.new,GEL.new,KGL.new,APO.new,NXA.new,SDA.new,AGR.new,SNM.new,PSU.new,RCY.new,PRS.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,NDA.new,FGA.new,BCA.new,GTP.new,GTI.new,GHO.new,LUF.new,EPI.new
FIN,Finland,100,100,80.13,31.06,64.85,69.14,76.1,100,100,90.08,90.08,100,100,51.11,NA,59.68,38.91,43.48,83.93,21.14,15.9,73.21,78.68,93.89,55.71,51.08,78.13,95.58,100,91.3,25.63,13.33,5.75,27.4,99.38,98.87,100,99.25,100,98.51,45.27,39.66,52.17,32.53,58.98,89.53,89.53,66.32,66.32,78.67,8.93,80.68,74.85,96.73,52.2,68.87,100,30.78,71.04
FRA,France,78.31,97.74,56.48,36.87,59.66,63.27,56.13,93.63,89.69,97.59,97.59,98.21,98.21,55.69,72.98,36.78,16.67,86.56,80.15,37.3,28.09,72.65,68.06,49.35,15.65,8.68,44.09,36.15,49.28,46.87,44.08,15.21,17.9,10.21,58.19,54.87,62.25,90.5,100,81,66.05,65.59,63.17,100,59.85,86.75,86.75,73.5,73.5,66.26,62.76,87.67,94.92,100,55.85,87.36,92.89,100,69.82
GAB,Gabon,0,52.45,37.36,59.81,46.91,69.61,8.2,29.62,29.77,55.3,55.3,56,56,68.4,NA,98.18,8.03,73.52,84.1,33.54,35.39,86.52,49.42,83.95,76.47,95.01,56.55,87.38,35.5,32.97,70.34,31.9,30.73,34.06,80.34,79.32,81.58,75.61,72.54,78.69,40.27,31.49,57.26,0.11,32.31,35.91,35.91,40.12,40.12,52.66,43.07,46.01,8.33,76.88,28.35,36.01,22.37,55.83,48.84
GMB,Gambia,28.23,6.91,35.18,71.05,49.9,29.02,28.9,27.86,28.95,42.19,42.19,0,0,20.59,NA,0.27,100,25.1,15.94,28.49,5.81,22.99,NA,90.48,15.24,16.96,81.13,99.98,100,73.52,51,47.09,18.59,100,34.12,40.6,26.21,17.41,13.28,21.54,50,14.48,100,0.21,54.98,10.53,10.53,38.35,38.35,25.39,57.06,92.88,NA,35.78,46.03,44.03,24.62,0,30.19
GEO,Georgia,12.63,40.69,39.62,77.93,63.65,44.92,34.77,62.92,66.63,28.67,28.67,87.88,87.88,45.11,NA,47.51,0,74.93,48.09,33.44,22.85,52.01,66.1,79.85,30.33,29.82,49.25,34.26,76.19,67.1,19.46,48.22,49.89,45.12,68.23,65.31,71.79,49.62,52.85,46.4,31.84,18.28,51.37,0.84,42.08,50.24,50.24,37.74,37.74,35.26,54.97,44.8,23.56,85.01,30.41,39.59,7.97,100,42.67
DEU,Germany,65.49,87.66,42.18,60.88,59.38,62.93,58.57,94.75,93.36,81.61,81.61,100,100,67.72,NA,84.56,0,100,78.26,40.09,33.28,98.17,45.83,89.78,21.8,10.68,43.5,45.42,49.99,25.56,53.02,4.85,6.27,2.22,48.68,46.26,51.63,87.57,100,75.13,68.12,73.6,64.58,44.43,65.37,99.12,99.12,73.04,73.04,72.66,70.58,93.23,75.45,86.15,56.7,75.81,100,100,69.93
GHA,Ghana,13.63,9.66,33.65,69.05,40.31,61.08,18.11,28.12,28.61,45.71,45.71,81.82,81.82,35.57,0,0,NA,49.53,91.37,31.61,14.17,77.59,85.19,62.27,22.58,11.88,51.79,17.38,78.57,72.29,38.92,3.31,2.15,5.46,43.54,38.98,49.12,60.48,31.38,89.59,70.39,53.46,100,8.24,64.89,15.54,15.54,18.41,18.41,14.27,29.34,0,8.39,33.38,22.8,23.42,0,30.36,28.6
GRC,Greece,42.75,100,46.23,36.66,60.76,38,46.69,93.11,99.82,63.04,63.04,98.7,98.7,55.96,34.14,72.19,0,100,85.21,30.64,35.91,58.77,73.44,33.35,28.62,38.76,54.22,42.87,51.46,48.96,73.57,7.84,11.26,1.49,63.41,60.3,67.22,86.86,75.09,98.63,50.56,44.47,60.69,31,50.05,92.11,92.11,72.8,72.8,76.46,56.47,79.25,68.46,100,59.57,73.27,100,100,66.03
GRD,Grenada,31.62,43.64,83.76,8.97,79.46,87.01,87.68,57.03,54.69,57.25,57.25,98.5,98.5,25.98,3.42,0,14.21,27.25,60.62,65.23,20.25,13.04,NA,0,75.79,45.14,68.36,47.74,100,99.99,25.72,31.34,22.48,47.77,NA,NA,NA,48.36,50.76,45.97,48.22,45.41,55.04,NA,21.65,44.47,44.47,27.08,27.08,27.85,28.99,4.82,36.01,51.36,21.21,27.43,0,100,35.67
GTM,Guatemala,22.34,19.85,60.01,64.39,39.78,38.04,1.32,32.33,30.12,42.15,42.15,41.9,41.9,43.93,20.1,55.03,100,66.55,35.62,38.55,47.68,34.52,5.06,14.3,63.29,65.31,42.33,31.19,38.62,43.28,56.22,4.31,6.63,0,7.08,4.56,10.15,28.91,19.35,38.48,54.09,64.47,46.77,13.49,49.45,23.94,23.94,29.96,29.96,34.5,27.66,38.74,14.02,15.98,32.21,35.35,0,18.36,31.49
GIN,Guinea,34.14,4.98,28.26,83.54,36.92,62.6,4.45,22.1,23.32,34.24,34.24,5,5,60.33,27.21,81.06,100,96.28,69.38,34.89,38.32,69.73,66.75,61.55,50.77,57.07,35.75,24.18,44.06,24.57,50.18,2.71,0.75,6.35,22.88,14.43,33.21,19.08,17.35,20.8,61.03,33.32,100,5.97,81.41,0,0,18.51,18.51,26.2,10.63,0,8.29,39,21.72,14.06,0,9.66,30.37
GNB,Guinea-Bissau,27.48,3.65,29.21,81.02,49.91,51.42,13.94,16.65,17.28,27.27,27.27,12.84,12.84,48.72,31.75,47.62,100,87.9,23.44,41.3,35.02,61.29,NA,80.04,47.86,44.57,56.38,93.45,100,13.18,18.9,3.8,5.84,0,27.25,16.71,40.14,24.61,25.01,24.22,54.21,28.71,83.31,NA,76.34,20,20,19.06,19.06,0,34.14,46.96,NA,45.06,35.53,24.83,0,17.45,27.95
GUY,Guyana,8.95,43.61,97.71,23.07,70.78,92.71,19.57,47.89,43.22,37.42,37.42,55,55,48.36,NA,NA,NA,27.85,100,50.61,16.54,36.53,51.41,12.43,96.98,95.78,32.75,25.21,26.37,21.47,57.94,30.42,24.42,41.55,47.91,76.71,12.72,30.54,24.61,36.47,86.3,87.46,100,0.01,51.38,33.41,33.41,3.67,3.67,0,0,35.45,NA,38.57,0,0,0,61.4,30.32
HTI,Haiti,42.87,2.71,40.11,38.44,58.63,76.64,34.53,23.79,24.71,10.62,10.62,0,0,21.84,18.42,16.13,NA,25.01,31.39,29.11,7.39,22.08,NA,0,50.67,48.63,82.01,NA,100,100,46.02,16.69,19.18,12.06,27.12,32.55,20.5,49.05,49.74,48.37,43.11,29.17,53.65,NA,98.26,0,0,47.11,47.11,48.38,47.5,53.05,NA,46.72,48.12,41.55,31.9,100,31.97
HND,Honduras,28.37,20.07,37.74,60.06,55.78,53.2,0,43.15,44.87,29.4,29.4,22.31,22.31,54.04,29.21,78.14,0,59.37,85.71,40.92,40.59,67.53,0,13.41,64.23,54.66,39.76,33.52,55.43,52.45,17.64,4.81,7.4,0,49.12,44.62,54.61,53.75,56.68,50.83,34.87,32.42,41.46,0.12,41.35,19.47,19.47,31.94,31.94,35.26,34.52,39.59,8.29,77.79,33.19,31.21,0.04,32.16,37.37
HUN,Hungary,31.07,55.13,34.29,68.21,56.45,31.98,49.42,72,65.07,40.81,40.81,97.18,97.18,53.26,NA,NA,NA,73.93,83.42,27.04,14.36,84.1,34.11,67.31,0.28,2.32,NA,NA,NA,NA,NA,10.19,10.32,9.95,NA,NA,NA,90.79,81.58,100,69.22,66.78,79.75,3.08,75.62,72.24,72.24,58.53,58.53,60.8,54.46,68.11,46.63,98.52,46.63,58.86,64.26,100,54.78
ISL,Iceland,100,100,56.23,26.17,71.78,88.46,94.14,97.47,96.41,81.85,81.85,71.81,71.81,37.02,30.18,46.01,0,47.61,32.2,33.61,34.84,17.81,100,52.22,80.78,100,50.55,77.15,45.49,29.98,49.58,NA,NA,NA,95.3,100,89.56,68.11,78.59,57.62,15.4,0,30.73,NA,46.78,1.63,1.63,49.87,49.87,48.37,70.63,81.27,59.51,100,29.56,51.49,40.88,NA,58.37
IND,India,0.49,13.95,0,83.49,0,8.94,18.55,27.05,25.88,28.04,28.04,18.4,18.4,9.09,9.54,17.97,48.23,1.13,2.87,3.58,0.6,9.29,72.25,31.62,0.07,3.44,32.69,56.38,20.05,15.62,38.7,17.97,16.71,20.32,52.88,48.7,58,51.99,55.16,48.82,49.2,52.72,38.89,100,45.75,28.83,28.83,28.01,28.01,28.22,36.82,10.35,23.2,54.52,25.36,26.71,0,100,22.46
IDN,Indonesia,9.21,29.91,33.21,60.21,40.77,18.85,10.96,37.81,31.06,33.6,33.6,50.45,50.45,32.82,20.98,35.08,57.15,37.84,43.96,18.32,16.99,42.01,43.96,43.63,57.69,56.67,36.98,55.75,32.22,25.22,34.73,12.71,11.58,14.83,59.02,56.56,62.03,8.34,1.77,14.92,58.37,55.46,56.69,100,59.32,29.77,29.77,16.76,16.76,22.84,4.09,26.8,12.06,34.29,12.82,17.63,0,12.19,26.24
IRN,Iran,7.64,79.67,25.9,45.11,23.29,7.52,22.92,57.32,60.03,37.92,37.92,34,34,35.85,24.28,67.19,64.43,20.26,62.49,19.55,8.12,26.34,100,66.57,37.41,35.24,50.62,60.25,68.03,57.82,16.37,59.77,62.61,54.51,82.43,83.99,80.53,41.84,47.96,35.71,55.68,32.56,79.73,100,50.17,26.39,26.39,24.16,24.16,34.07,36.14,11.22,16.84,61.1,13.17,18.16,0,28.68,38.42
IRQ,Iraq,0,56.33,21.68,45.1,32.12,11.35,22.52,56.89,51.54,22.62,22.62,58.72,58.72,14.89,NA,NA,NA,4.88,16.97,19.7,3,12.97,94.87,38.64,36.56,31.12,NA,NA,NA,NA,NA,69.77,57.59,92.4,79.55,80.52,78.37,13.86,0.85,26.87,42.88,32.36,55.73,3.9,84.25,41.81,41.81,15,15,17.99,40.66,18.04,9.79,6.93,11.55,10.82,0,0,26.55
IRL,Ireland,80.16,100,86.17,49.37,69.51,61.84,83.47,91.86,98.09,80.71,80.71,98.73,98.73,44.8,46.52,34.1,21.7,46.79,70.06,32.37,10.13,75.75,100,74.81,32.68,34.41,44.29,40.08,57.06,27.89,52.1,5.7,8.77,0,41.71,42.14,41.17,89.22,87.54,90.89,45.49,48.83,30.06,100,80.93,50.79,50.79,64.36,64.36,61.32,61.58,75.36,80.41,100,39.46,86.07,70.7,23.47,62.01
ISR,Israel,43.83,100,40.77,42.77,25.28,0,40.92,85.16,85.73,95.77,95.77,100,100,30.13,NA,0,42.93,73.1,24.8,28.59,25.73,35.98,NA,0,36.58,35.38,35.92,20.81,26.09,21.04,75.76,21.07,23.96,15.71,47.78,58.76,34.35,80.2,71.11,89.29,41.91,33.76,56.9,0.27,45.24,94.95,94.95,47.89,47.89,57.5,31.78,52.19,26.97,100,37.91,52.34,42.83,0,51.69
ITA,Italy,49.49,91.47,38.58,47,53.77,50.87,44.11,96.61,97.51,88.08,88.08,91.44,91.44,49.1,39.99,70.6,0,72.07,73.62,33.97,16.77,57.77,85.75,24.28,17.96,15.29,43.32,45.6,30.62,34.57,62.5,16.89,17.75,15.28,57.96,58.62,57.16,96.1,97.14,95.05,49.29,42.53,49.9,100,61.23,70.68,70.68,61.78,61.78,60.8,54.96,80.27,58.91,100,47.6,66.8,69.87,100,61.56
JAM,Jamaica,23.08,41.08,53.25,38.82,65.97,42.38,44.27,52.23,52.14,61.35,61.35,0,0,44.86,10.06,75.97,100,63.39,58.12,40.28,23.14,32.25,NA,0,56.44,65.55,83.46,87.8,100,100,46.04,21.6,22.27,20.36,13.52,10.28,17.48,80.4,60.8,100,44.89,49.48,43.41,0,55.59,33.69,33.69,47.13,47.13,50.21,57.17,46.45,27.07,37.64,43.82,46.39,35.93,100,44.08
JPN,Japan,59.37,98.19,59.76,30.33,58.61,34.9,43.32,85.02,79.29,100,100,95.71,95.71,45.1,63.78,42.55,0,95.79,27.15,27.46,17.07,59.36,43.43,16.13,28.91,29.92,48.43,40.79,54.85,39.84,58.23,26.77,23.73,32.42,63.32,64.66,61.7,100,100,100,39.25,52.31,27.25,5.46,38.45,98.58,98.58,62.86,62.86,66.16,55.32,66.12,43.06,94.58,48.67,65.24,88.23,100,63.15
JOR,Jordan,7.09,100,41.72,44.44,31.18,0,35.81,65.63,61.47,76.89,76.89,55,55,21.47,NA,NA,NA,15.36,14.94,27.99,9.38,18.75,67.73,74.05,43.26,49.43,NA,NA,NA,NA,NA,47.02,48.61,44.06,63.81,62.4,65.54,99.34,98.68,100,47.13,28.95,75.34,0.42,49.87,77.42,77.42,46.03,46.03,60.7,15.7,41.18,8.89,90.87,45.45,46.58,36.9,0,46.72
KAZ,Kazakhstan,11.41,59.5,19.34,77,63.46,34.11,52.32,64.35,69.44,39.92,39.92,79.74,79.74,31.25,NA,NA,NA,32.43,33.75,14.88,10.78,52.13,100,65.58,37.3,30.17,NA,NA,NA,NA,NA,19.91,27.1,6.56,82.95,78.92,87.87,35.48,35.15,35.81,65.65,34.66,100,100,66.4,30.3,30.3,43.3,43.3,59.18,33.76,4.02,22.02,88.15,25.98,44.89,51.92,10.77,41.26
KEN,Kenya,54.04,13.13,51.96,72.99,23.88,47.85,15.8,21.7,22.63,76.17,76.17,68.24,68.24,38.88,13.21,50.68,0,45.38,59.9,28.28,23.16,58.99,100,46.53,39.61,34.27,64.69,69.07,78.4,90.45,20.86,18.54,17.67,20.15,73.61,83.52,61.5,49.37,31.42,67.32,50.28,42.19,49.98,100,83.83,11.18,11.18,24.35,24.35,25.03,22.59,6.85,26.5,32.97,28.62,26.87,0,20.1,36.1
KIR,Kiribati,94.28,11.92,19.48,62.32,91.47,100,100,29.03,29.96,50.43,50.43,53.07,53.07,18.96,7.96,23.61,24.12,58.35,29.72,7.48,2.4,0,NA,25.7,52.09,0,74.36,81.05,100,100,16.4,NA,NA,NA,NA,NA,NA,63.47,71.53,55.41,58.45,23.27,100,NA,77.78,32.9,32.9,33,33,36.98,22.92,20.79,NA,60.56,35.57,33.86,0,NA,36.26
KWT,Kuwait,4.09,100,57.49,6.58,32.1,0,13,82.99,69.13,32.25,32.25,100,100,37,10.17,0,49.34,55.28,86.79,29.78,18.41,65.89,NA,63.9,44.23,36.16,29.45,0,29.57,24.76,63.47,NA,NA,NA,43.68,48.49,37.8,51.61,42.32,60.9,25.96,35.75,7.6,NA,74.98,100,100,22.47,22.47,34.25,50.42,21.57,10.31,100,0,12.07,0,NA,39.19
KGZ,Kyrgyzstan,28.76,18.33,24.24,65.86,60.39,39.34,44.49,52.69,58.43,16.37,16.37,47,47,16.13,NA,NA,NA,11.74,13.67,16.38,3.28,13.68,69.22,64.03,45.42,43.65,NA,NA,NA,NA,NA,57.6,58.11,56.65,87.45,90.13,84.16,71.42,99,43.83,43.41,38.41,53.58,3.67,51.75,21.86,21.86,33.06,33.06,39.02,28.04,29.19,50,46.3,31.93,28.2,2.58,26.06,33.75
LAO,Laos,9.64,4.73,23.03,69.45,24.07,47.05,0,24.59,25.19,25.08,25.08,0,0,49.41,NA,NA,NA,62.6,62.83,26.93,23.97,65.31,45.83,60.23,52.51,69.52,NA,NA,NA,NA,NA,0.59,0.9,0,15.86,12.13,20.42,9.03,0,18.05,59.6,70.56,44.32,NA,72.23,10.3,10.3,8.21,8.21,3.04,30.25,0,NA,57.34,7.18,2.74,0,29.49,21.78
LVA,Latvia,33.2,58.1,72.2,56.11,57.43,56.43,67.12,74.83,74.15,37.69,37.69,99.89,99.89,61.41,NA,85.54,0,62.3,95.25,24.58,18.88,97.98,58.22,95.66,37.39,12.44,67.93,52.14,81.32,87.26,51,5.2,3.12,9.04,NA,NA,NA,61.61,74.27,48.94,64.58,65.02,58.5,100,73.41,96.46,96.46,53.53,53.53,58.9,60.28,36.84,48.65,63.32,43.41,55.65,53.46,42.81,55.51
LBN,Lebanon,12.65,69.26,34.84,23.32,32.77,10.85,46.81,66.22,49.03,65.08,65.08,57,57,13.17,0,9.62,9.09,23.21,9.53,23.02,7.49,11.92,NA,62.52,27.77,25.06,88.23,93.65,100,100,59.26,6.24,8.89,1.32,83.28,82.62,84.08,61.37,61.05,61.7,46.66,44.02,56.92,0.18,37.54,42.8,42.8,45.59,45.59,53.32,49.17,53.38,8.29,56.59,43.98,43.59,41.82,32.96,39.67
LSO,Lesotho,29.84,6.98,19.31,97.4,48.3,16.86,22.56,19.37,20.57,40.55,40.55,35.44,35.44,51.93,NA,NA,NA,77.44,68.3,23.85,29.15,60.75,79.74,82.97,32.64,27.15,NA,NA,NA,NA,NA,39.87,27.45,62.92,79.23,79.06,79.44,40,35.61,44.4,39.28,9.07,71.46,NA,83.97,3.01,3.01,36.65,36.65,39.25,51.24,53.66,NA,50,41.97,24.49,19.96,0,39.01
LBR,Liberia,42.89,4.29,32.47,75.54,45.56,75.98,16.85,20.62,21.1,28.6,28.6,0,0,18.35,0,NA,100,12.69,10.31,24.7,11.95,16.28,100,70.14,30.93,23.51,65.93,95.99,98.97,19.95,48.79,3.79,1.57,7.92,41.81,29.35,57.04,21.93,21.99,21.86,48.36,23.47,79.31,NA,49.81,0,0,30.46,30.46,29.56,29.37,40.87,50,39.86,36.13,26.04,0,24.77,25.27
LTU,Lithuania,44.44,70.5,75.89,68.23,59.13,51.45,69.46,68.13,69.14,34.65,34.65,99.99,99.99,55.45,NA,60.41,48.87,59.5,87.24,25.41,12.11,92.92,66.91,97.41,30.63,5.59,68.12,72.77,89.85,80.93,28.92,5.4,7.25,1.97,54.19,50.45,58.75,66.11,71.67,60.55,76.88,65.96,100,1.92,76.05,95.84,95.84,57.52,57.52,52.75,81.86,99.65,59.61,57.28,45.08,59.82,67.34,46.76,56.78
LUX,Luxembourg,85.36,100,45.06,58.21,57.99,70.48,57.98,96.96,94.41,100,100,100,100,67.4,NA,NA,NA,100,85.61,43.15,21.9,100,NA,89.08,22.6,8.73,NA,NA,NA,NA,NA,8.23,10.84,3.38,NA,NA,NA,98.26,100,96.53,42.65,47.61,37.07,0.02,80.33,98.82,98.82,73.67,73.67,72.54,55.42,82.97,70.92,97.14,49.71,99.94,100,35.49,74.24
MDG,Madagascar,69.09,4.64,53.87,72.99,61,84.39,18.29,12.21,13.26,48.57,48.57,21.01,21.01,31.01,15.32,14.87,11.77,42.32,43.92,28.12,17.64,61.61,11.16,11.2,60.18,67.67,50.05,52.13,52.64,50.4,45.05,2.14,3.3,0,63.75,71.53,54.24,16.39,13.16,19.61,66.08,44,100,1.1,80.55,10.95,10.95,27.83,27.83,26.03,33.34,78.47,8.31,10.03,39.32,22.72,7.77,31.3,31.13
MWI,Malawi,66.41,7.99,53.12,93.03,42.93,64.2,16.19,16.25,17.44,50.67,50.67,4,4,61.22,NA,NA,NA,79.11,86.13,41.27,24.88,79.16,84.46,62.83,43.58,39.01,NA,NA,NA,NA,NA,3.79,5.8,0.07,65.97,62.02,70.81,25.32,19.43,31.22,50.66,46.17,57.12,28.75,65.84,6.44,6.44,9.44,9.44,10.04,5.81,0,8.29,43.31,13.94,4.66,0,7.15,33.21
MYS,Malaysia,18.04,83.42,40.76,50.16,45.84,38.78,0,59.41,49.05,62.91,62.91,16.94,16.94,29.72,14.49,8.81,61.64,42.78,39.98,18.44,16.27,56.61,13.25,38.69,56.65,72.14,54.2,87.02,41.69,38.56,49.51,10.44,7.83,15.3,29.55,28.87,30.37,55.75,51.29,60.22,53.78,64.66,48.72,19.47,19.68,90.61,90.61,36,36,36.33,50.9,78.43,60.59,74.04,20.08,35.57,3.83,20.63,39.52
MDV,Maldives,33.99,59.77,9.44,22.34,73.77,97.9,93.72,59.88,42.49,43.69,43.69,0,0,6.31,1.4,0,17.95,5.56,0,11.64,7.21,0.28,NA,55.19,69.54,1.87,88.58,99.45,100,99.93,54.92,28.37,28.37,NA,NA,NA,NA,55.97,48.72,63.22,54.38,38.02,71.91,NA,77.78,37.08,37.08,11,11,10.59,5.51,35.44,NA,39.68,1.25,9.95,0,95.52,25.06
MLI,Mali,29.6,6.97,29.31,67.64,53.92,81.97,9.68,18.16,19.19,39.63,39.63,13.96,13.96,29.93,NA,NA,NA,18.99,16.58,24.16,9.14,67.03,69.06,91.73,31.62,29.51,NA,NA,NA,NA,NA,41.23,9.59,100,53.98,57.64,49.5,18.16,12,24.32,69,47.01,100,10.78,99.22,6.27,6.27,9.56,9.56,1.56,17.45,0,8.29,42.74,21.97,7.36,0,0,23.56
MLT,Malta,57.63,89.06,42.26,28.53,69.59,47.7,81.12,94.21,95.83,61.55,61.55,96.62,96.62,57.84,57.88,99.21,0,95.28,99.81,29.85,11.27,34.63,NA,43.7,16.33,0,49.52,29.1,73.23,74.04,21.73,NA,NA,NA,NA,NA,NA,82.27,64.53,100,17.01,8.92,24.3,NA,39.48,7.04,7.04,51.65,51.65,39.96,39.2,45.15,60.7,100,35.37,92.47,14.68,NA,59.09
MRT,Mauritania,6.93,13.43,39.98,58.29,67.91,69.8,30.57,21.04,21.73,36.26,36.26,45.3,45.3,27.57,28.28,45.4,100,2.04,52.46,13.97,0.75,4.79,90.25,89.38,46.87,50.49,70.87,51.55,95.95,81.42,54.58,NA,NA,NA,78.67,100,52.61,16.59,12.12,21.06,46.85,24.36,68.86,NA,95.67,0,0,16.36,16.36,6.22,37.35,32.35,8.29,27.99,24.64,18.78,0,NA,25.34
MUS,Mauritius,16.04,78.2,100,22.22,88.67,80.16,99.19,60.44,55.35,48.67,48.67,100,100,10.98,17.3,0.46,0,15.74,6.78,23.49,2.41,12.31,NA,0,27.69,18.05,83.62,69.05,94.6,87.07,83.74,100,100,NA,NA,NA,NA,55.57,61.83,49.31,67.53,84.36,52.75,NA,17.56,26.93,26.93,40.05,40.05,47.98,44.84,19.18,26.53,78.79,31.27,41.55,13.85,42.24,40.86
MEX,Mexico,22.98,47.07,42.44,41.07,39.56,0,10.33,57.66,52.86,47.18,47.18,76.85,76.85,39.37,50.09,57.81,15.76,49.21,33,20.6,20.43,42.47,31.58,12.14,54.94,58.61,37.68,27.48,39.42,33.95,49.87,12.77,15,8.62,81.55,84.61,77.81,82.6,100,65.21,46.5,45.64,52.1,6.81,50.08,64.11,64.11,48.16,48.16,52.8,43.5,46.61,22.84,100,40.23,49.05,37.05,89.03,46.09
MDA,Moldova,28.14,36.09,60.6,72.9,63.27,31.97,63.14,58.22,61.41,22.74,22.74,41.2,41.2,33.74,NA,NA,NA,35.32,52.88,22.47,2.89,65.26,28.3,43.31,0,0,NA,NA,NA,NA,NA,16.91,16.76,17.2,NA,NA,NA,34.49,44.27,24.71,55.82,49.83,68.77,2.08,65.95,41.43,41.43,44.31,44.31,43.41,58,46.38,25.97,74.49,39.41,45.12,25,100,37.98
MNG,Mongolia,0.15,28.37,43.73,72.38,64.91,24.73,55.68,66.53,70.61,28.36,28.36,79.04,79.04,52.99,NA,NA,NA,59.17,73.41,19.16,24.31,81.88,84.64,86.27,49.28,49.68,NA,NA,NA,NA,NA,50.09,45.92,57.82,100,100,100,17.83,9.77,25.9,15.92,1.5,26.09,6.61,88.1,53.16,53.16,8.63,8.63,13.39,0,23.67,NA,32.84,0,0,0,100,34.15
MNE,Montenegro,16.54,37.29,47.21,71.18,62.63,43.48,40.75,92.41,80.22,45.8,45.8,89.35,89.35,47.42,NA,32.26,0,75.74,73.41,40.51,18.01,68.9,NA,38.26,29.82,22.31,46.55,43.04,50.06,46.66,46.46,25.5,25.52,25.46,48.72,42.21,56.67,97.04,94.08,100,17.86,16.37,14.16,16.18,64.14,31.08,31.08,44.34,44.34,40.38,72.06,83.97,19.62,80.37,35.18,45.04,22.05,100,46.38
MAR,Morocco,4.57,54.18,34.12,47.57,49.49,23.5,35.72,55.12,49.66,18.01,18.01,63.1,63.1,24.23,0,5.21,62.82,7.1,7.64,38.78,45.62,55.8,100,26.71,36.31,35.68,47.76,45.21,63.86,38.47,43.5,11.14,10.85,11.69,73.86,76.6,70.52,33.52,35.56,31.49,45.05,33.91,62.11,2.81,62.33,75.33,75.33,31.42,31.42,36.67,28.29,59.34,8.29,46.23,31.71,32.73,0,25.23,33.11
MOZ,Mozambique,76.69,8.85,59.87,76.22,59.12,79.93,17.85,18.81,19.9,57.1,57.1,1.5,1.5,52.19,23.66,36.07,0,89.03,81.79,44.07,42.62,66.77,58.68,63.92,58.53,64.23,50.47,47.2,70.04,67.83,16.82,7.48,8.22,6.1,62.97,61.15,65.19,35.01,25.15,44.87,66.64,33.87,100,100,94.17,21.67,21.67,27.43,27.43,34.03,19.73,40.39,23.3,25.52,33.32,18.27,0,46.05,38.78
MMR,Myanmar,2.3,5.96,12.38,57.5,35.1,48.49,0,33.11,33.89,19.93,19.93,44,44,20.1,2.32,5.15,100,19.76,28.07,11.09,8.63,35,68.72,53.9,39.42,55.77,39.45,52.55,25.83,21.7,57.72,10.96,11.08,10.75,60.3,47.38,76.09,25.65,9.33,41.98,65.52,56.06,73.96,100,58.04,15.19,15.19,43.03,43.03,23.12,72.63,100,26.5,46.65,53.16,48.6,54.97,24.95,28.87
NAM,Namibia,27.62,18.2,26.4,82.08,59.32,67.39,11.66,28.71,29.59,54.66,54.66,60.95,60.95,55.06,0,7.5,41.23,100,98.31,51.65,62.97,82.83,100,91.04,58.57,60.83,38.46,56.04,36.29,19.44,42.05,39.47,35.94,46.02,100,100,100,69.06,44.46,93.66,37.83,9.79,70.21,0.01,97.03,20.7,20.7,31.77,31.77,51.58,19.61,17.39,8.29,32.08,27.85,27.79,1.34,0,42.75
NPL,Nepal,19.63,11.09,0,81.31,0,24.17,7.73,37.76,37.48,37.51,37.51,23.05,23.05,45.03,NA,NA,NA,56.52,80.28,13.42,28.9,43.02,80.1,77.56,35.22,22.93,NA,NA,NA,NA,NA,37.72,38.03,37.14,88.94,86.83,91.52,5.7,11.39,0,71.57,76.46,74.89,0.63,67.03,29.58,29.58,25.75,25.75,0,69.05,59.67,NA,34.99,38.29,36.24,5.83,32.15,33.99
NLD,Netherlands,73.52,100,45.4,31.26,62.96,65.04,68.8,100,100,97.47,97.47,100,100,61.6,96.18,92.63,0.77,86.86,81.29,33.78,13.73,38.52,54.46,89.41,16.52,4.39,28.29,25.43,32.37,7.85,47.51,17.45,19.61,13.44,43.72,39.94,48.33,91.59,100,83.19,35.22,46.16,18.96,NA,55.88,99.81,99.81,74.13,74.13,76.01,75.08,71.43,65.6,100,59.15,85.36,100,2.77,70.49
NZL,New Zealand,79.41,100,63.78,16.4,91.94,45.28,55.27,83.34,77.68,68.54,68.54,100,100,39.02,19.34,16.43,84.88,86.78,15.83,42.86,39.8,48.02,89.49,0,53.84,57.22,35.53,35.07,27.73,24.55,54.79,11.18,14.38,5.23,49.92,53.3,45.78,64.19,79.77,48.62,52.65,53.48,56.12,6.92,62.25,84.53,84.53,51.52,51.52,57.76,61.68,72.26,41.13,58.03,31.52,53.97,59.36,53.88,55.45
NIC,Nicaragua,43.79,20.65,48.88,56.05,66.98,39.46,12.35,43.67,45.81,47.51,47.51,0,0,54.84,44.31,0.3,100,69.55,92.59,53.57,60.08,71.51,0,46.12,65.78,61.54,43.8,39.82,50.41,40.34,44.63,2.7,4.15,0,37.31,48.46,23.68,61.93,47.7,76.16,46.37,36.88,49.97,100,58.83,31.8,31.8,39.2,39.2,50.01,37.33,34.8,8.29,38.35,39.54,38.38,18.82,24.72,41.7
