"code","iso","country","GHG.raw.2005","GHG.raw.2006","GHG.raw.2007","GHG.raw.2008","GHG.raw.2009","GHG.raw.2010","GHG.raw.2011","GHG.raw.2012","GHG.raw.2013","GHG.raw.2014","GHG.raw.2015","GHG.raw.2016","GHG.raw.2017","GHG.raw.2018","GHG.raw.2019","GHG.raw.2020","GHG.raw.2021","GHG.raw.2022","GHG.raw.2023","GHG.raw.2024"
4,"AFG","Afghanistan",16505.0344268311,16823.3581571877,17978.0148529401,20916.0450995738,23781.3747622879,27921.1135100951,31433.8611520414,29269.3204557983,28257.8160472313,28746.3596451143,28727.6757536848,27848.2819931432,29095.8794309637,29994.9266026227,30407.1081712605,31039.0423369996,29873.9664391563,30438.140069093,30954.5283711048,31442.3289330174
8,"ALB","Albania",8051.76648394561,7761.84578162562,7700.47789773418,7984.91815462235,7803.27061131818,8274.03525631401,8633.70465298937,8522.88486238647,8964.15081101732,9839.89757686817,8550.18253932463,8343.59338213629,9128.31060397497,9001.84142729985,8579.45358833584,8253.96873948168,8481.01157473529,7634.46487241353,7420.40710240995,7292.51349426694
12,"DZA","Algeria",165757.129054027,163988.245684034,164137.641759344,168308.716555705,169944.676292772,176602.11301179,183856.824302174,195424.389615473,200757.628457873,214976.938187676,223175.466812223,222803.661146511,229215.324648636,238815.06057147,246426.443223979,231692.615754662,245192.378628333,258011.517465104,269736.247179329,263140.276785064
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",67253.7161172318,61076.9103983713,59370.4241857024,61743.0676772582,63221.6120460867,70871.0628896138,69333.5813609633,72720.802058588,73193.8121282246,73209.8480835294,76911.1395441126,73803.5906763052,70089.6435852138,67027.0366873646,65570.3043837716,58345.9740176614,59488.5631019141,61661.1674485112,61855.0555881246,63382.3999768428
660,"AIA","Anguilla",112.486664567824,123.502445698044,127.16071390069,127.277243443876,127.461626560125,131.284713092946,127.700605904824,124.065883519361,116.813828168095,124.165514432721,138.83561948563,142.560227333009,131.59266987117,135.216283795152,146.205193316133,138.763354423465,142.401597417566,146.063880716595,145.791862961084,151.297476862824
28,"ATG","Antigua and Barbuda",570.953491626854,607.374623121049,625.578218075879,628.567959191878,645.998294448756,616.911806742973,611.585118052014,622.853660232469,623.270316777707,634.737983527651,646.008277928557,661.614141904489,668.622187022967,682.804296498215,703.66044562096,681.456469690499,700.209449074857,708.808467286464,710.267020359253,734.533727466232
32,"ARG","Argentina",334550.347011858,351493.307576323,352101.863487468,362444.941448368,344182.476800836,343553.242296907,346381.307250931,351594.799700854,353725.29855171,355643.766148968,358953.496990327,362384.70318963,365627.357589771,362410.19330827,364006.371842578,347963.776005742,373207.01856285,369554.36045356,363450.562688638,359352.525792942
51,"ARM","Armenia",7081.5370132425,7089.8705282859,8026.51490274721,8481.91129858564,7147.92546451859,6976.77128897791,7711.01308579881,8592.7619442314,8596.64353425314,8754.22423035962,8689.69360766492,8502.51623860112,8725.5703548115,8896.82619181313,9368.16051883368,10104.1068038167,10734.4835693523,11084.8268883911,10602.0370695858,10660.9003545669
533,"ABW","Aruba",2805.74061871093,2773.54799499546,2884.67847529411,2715.90120769633,2683.38337874476,2551.48711011928,2544.29354727225,1374.60197304351,888.480564096588,900.49326791794,926.33650915804,912.374816958813,919.597245227508,897.695748076042,861.863255196497,850.735003040812,891.673118024809,920.063534281033,918.611814461731,953.050371873469
36,"AUS","Australia",575419.228738056,582894.98982533,587700.857266864,587641.912576798,591601.848347718,585801.650619929,599152.083617819,603839.356921265,594288.995613102,590690.33824354,597979.615637559,594557.21866499,612578.045265856,610923.756770352,609452.733465759,583044.372759061,577555.747705129,575342.108905257,591828.846048989,592186.299904234
40,"AUT","Austria",94918.5904309846,92324.519005531,89468.287133614,88639.5123576991,82058.6241830315,87143.8270285534,84863.2113774792,82049.3131361799,82477.9395513713,78899.2634058922,81103.7328315639,81994.9786397287,84223.9332639415,80962.2014714072,82167.3017924283,76096.1900493164,79480.7684190773,74745.4164378267,69891.5300075288,69199.4855164785
31,"AZE","Azerbaijan",47250.2269816739,48514.5429790766,47364.4916175225,51546.2993008006,46262.7130412091,45027.0450962285,47306.0923421599,50155.694089434,51243.0271511809,52345.2770457611,52761.8959957202,52642.920345218,52542.0058033535,52594.8038270574,56357.5949721945,54809.6314569151,57097.9177589148,60362.1724773625,61641.2277840382,58871.6377436486
44,"BHS","Bahamas",2183.78062106405,2140.86184272612,2168.98192807651,2221.1572494971,2451.98604071864,2534.51048896852,2419.80195459602,2361.45745789436,2315.10118581534,2385.88588712247,2557.45620320137,2577.74425586313,2861.37689501423,2790.60855661486,2869.08367984199,2401.3656248472,3084.49966263142,3328.23898142184,3327.04368290943,3445.97681733218
48,"BHR","Bahrain",41792.3671829474,40896.9756645665,44179.1229047717,48697.0785038668,47888.4832451234,48080.0123950978,47676.2739115746,48811.5533336436,55417.0294892353,55803.8060445228,57367.3505526769,56724.1925143196,57563.6522672042,57333.6294183271,63113.0845232436,63141.933912401,61731.499635812,63233.6353678016,64324.2837750285,64777.8119385465
