"code","iso","country","TC5.raw.2005","TC5.raw.2006","TC5.raw.2007","TC5.raw.2008","TC5.raw.2009","TC5.raw.2010","TC5.raw.2011","TC5.raw.2012","TC5.raw.2013","TC5.raw.2014","TC5.raw.2015","TC5.raw.2016","TC5.raw.2017","TC5.raw.2018","TC5.raw.2019","TC5.raw.2020","TC5.raw.2021","TC5.raw.2022","TC5.raw.2023","TC5.raw.2024"
4,"AFG","Afghanistan",948.720785255985,1012.71260870431,1086.60641551783,949.792901647454,818.875994152964,670.582888994884,631.576511094498,418.042464713584,311.971564632411,244.285358179325,156.556905372909,43.4787473522667,4.1711316962131,28.4251357248698,42.8209120120464,79.403219904453,105.88568150637,111.758223685481,100.793883432163,93.3846017893748
8,"ALB","Albania",9160.28647823962,6393.91355019812,10726.9556459932,15583.6810040112,13685.0702402821,13644.7522799574,13868.8012212874,14042.0778698065,11141.7865285954,10856.5092558521,10487.0115037965,10229.0568005181,6520.40658551122,5998.73180539852,6020.58352235807,6853.97902732153,7611.26510195483,8019.80855100677,8474.1403717916,8289.53197888796
12,"DZA","Algeria",19149.6623602835,21094.683765816,23284.9844022702,27426.5035943262,33518.5636692749,31654.9907692042,34584.1818632192,40292.450036617,39247.0769683664,38304.0195167656,41404.252928515,41073.1998175787,76133.8829842688,74969.4661944118,71736.6642545246,79103.5978517652,91563.8902410284,59037.6686834006,75295.9539416052,73413.1996736496
20,"AND","Andorra",28.065509512565,33.0358448360437,33.9498819046939,38.8556817497699,19.1196068684505,17.978492794362,12.2672021292708,17.795862474414,15.9121856283333,14.4271464786219,15.5112076733659,15.2254608958984,10.9499016532899,22.4739286458941,29.1456509833507,54.4723596367056,56.0695617854599,67.8743378817924,58.632068803624,67.5293184991644
24,"AGO","Angola",379399.705282446,355117.213005214,439397.005067029,490489.830662954,585121.873020947,651484.125206495,757457.830417088,792916.730044871,858196.996413738,904949.675100859,906860.811338291,953641.84009308,1053316.73514156,1127001.98351592,1089422.41473933,1175691.1023467,1244262.04045881,1230754.81533565,1256509.96267467,1364773.85440506
660,"AIA","Anguilla",17.635194271773,15.0738901621093,23.56310938148,32.7828528501312,25.8313245252137,22.6116794638812,22.3190856495095,15.5861509379632,6.58583034488931,5.04919574495658,4.61017788347546,3.58561509941405,2.48804916517252,1.39035601973633,1.02452303951497,1.17085289560547,2.85363459204644,2.26808356333767,2.04860874820529,2.04860874820529
28,"ATG","Antigua and Barbuda",145.437113264381,182.515039822882,202.016826910795,230.634448082358,266.701283155253,224.672161351538,189.356521328231,185.544083253769,161.193671447011,124.539228784289,114.310221473221,102.899145235976,141.452164369972,282.921538382412,281.456196332903,287.784719568181,312.518245042266,277.939399565791,134.330343181187,153.982938924598
32,"ARG","Argentina",1302513.94091896,1471126.28397832,1791527.63365068,2135139.63286062,2011568.70442062,2057568.30831649,2240349.02935402,2293192.77252687,2077220.30629955,2008485.10555172,1775466.89861003,1506584.89136517,1262350.37975575,1058568.52595571,962909.475159849,980085.862633975,951669.470577826,949949.469226912,992925.890523296,1050523.27440588
51,"ARM","Armenia",887.415219945345,885.323674331437,767.321498817091,484.536337037829,604.065110541752,662.223157231194,706.462665079204,849.604425824877,778.41415487961,613.808219333371,453.625710400911,309.684715546925,153.753857152979,117.815116812407,80.3939625002256,96.9468162700041,71.8639589473349,38.5797127782074,119.129083650298,148.05583310487
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
