"code","iso","country","COE.raw.2003","COE.raw.2004","COE.raw.2005","COE.raw.2006","COE.raw.2007","COE.raw.2008","COE.raw.2009","COE.raw.2010","COE.raw.2011","COE.raw.2012","COE.raw.2013","COE.raw.2014","COE.raw.2015","COE.raw.2016","COE.raw.2017","COE.raw.2018","COE.raw.2019","COE.raw.2020","COE.raw.2021","COE.raw.2022","COE.raw.2023","COE.raw.2024"
4,"AFG","Afghanistan",0.183860336165787,0.177821456138565,0.189670872460629,0.185616010760002,0.192842902979839,0.184350331591295,0.183394296427968,0.180925674794444,0.175462579798539,0.195066396040393,0.189893344361867,0.183868405237506,0.188533440645769,0.190945836937826,0.195327390572872,0.183507850258588,0.198212275177234,0.203690121884284,0.196204335455309,0.193829601949546,0.193784274459956,0.198602830221675
8,"ALB","Albania",0.196633587361756,0.17693223438896,0.181218018961698,0.175204921088117,0.201269788750547,0.1638715219802,0.156570460464308,0.15585266413239,0.168905609372357,0.180026288033767,0.150483417546777,0.146159774057266,0.155945607396596,0.142889636438243,0.149096435455705,0.139302866662381,0.135844650995994,0.136669429599194,0.142356021354377,0.132203040847243,0.13688521532776,0.140900325195916
12,"DZA","Algeria",0.170829368496091,0.168904843241295,0.171547378502221,0.172501935996078,0.188419849617587,0.168833464142615,0.168183083706552,0.167561324899727,0.17752466157366,0.226400333329702,0.175351784411708,0.194228692366615,0.211170011154779,0.21552983008989,0.225103138803372,0.202902850099196,0.208892016019381,0.239570922090368,0.24278315987799,0.237908952666918,0.234891652154444,0.228590955144642
20,"AND","Andorra",0.199550831772392,0.184756650166926,0.182008654978491,0.179981190558681,0.176603467358702,0.168242953803195,0.161192187104999,0.160825666034931,0.158764902855575,0.160591946444678,0.154385885560982,0.150922097366556,0.154559440239545,0.151329967815909,0.15176227169128,0.14678853466917,0.144082030931607,0.144755814718566,0.148690246215927,0.144164505340636,0.150678512257082,0.149170812534357
24,"AGO","Angola",0.30260000522847,0.303252906074173,0.305109430714896,0.291029702653039,0.303460370350372,0.29681127584323,0.277817788957851,0.293895862234413,0.304887049396854,0.268820614386317,0.273345429091215,0.250010452011235,0.281535572808094,0.277751420774211,0.239469831153674,0.23373286428386,0.253809140813285,0.246698860322315,0.234932514688935,0.234682888229824,0.259496139024775,0.267537239149521
660,"AIA","Anguilla",0.0946604669961226,0.0893100827270124,0.0904641634664402,0.0894085535027056,0.0866391726726246,0.0849963398225234,0.079814104133857,0.0848833797127093,0.0796212386144451,0.0819767004726764,0.080154544111545,0.0766326030097577,0.0785856095205966,0.0777195832325942,0.0771694021033462,0.0753825899455438,0.0734343544939431,0.0769920097597252,0.0789827602462596,0.0736827385297527,0.0796446361915117,0.0808908337388878
28,"ATG","Antigua and Barbuda",0.107022544618999,0.0893267957871757,0.092282445060374,0.105350502671574,0.0899502398421129,0.0852321706433478,0.0836652713704765,0.0902566282927756,0.0807854233592282,0.0826378183963299,0.0809654924608231,0.0774383678561335,0.0801025846455155,0.0795367320643304,0.0774860891771946,0.0762569705097313,0.0741684017090864,0.0780696969894262,0.0797756116320211,0.0741802218770339,0.0804268273754997,0.0821383148672066
32,"ARG","Argentina",0.147024184362051,0.135043505956001,0.130638219631925,0.139914672445384,0.145044564442522,0.138861198546662,0.128509719396368,0.123915994047375,0.119608696651417,0.12886104627798,0.125348173260735,0.119271413055692,0.122802213107072,0.118496999990497,0.121140272656038,0.119607174782565,0.124367493831962,0.14166822566333,0.121887720349586,0.131972056694578,0.126465891792251,0.134933107376924
51,"ARM","Armenia",0.175262647849026,0.167168857851322,0.170580580747762,0.168006413085507,0.16480069392533,0.160327386653526,0.151788751942314,0.161654090192544,0.153799334362524,0.160941603373692,0.155544586956299,0.153451992628695,0.157631558341276,0.160271826011727,0.162023510426352,0.153497148734659,0.159662898644486,0.156818272476564,0.159760074499513,0.15032992469856,0.155475545618501,0.15634551435056
533,"ABW","Aruba",0.0932673567227556,0.0897567857306387,0.0946130455566018,0.0874376366395338,0.089939312219375,0.0846616681296816,0.0808254038313513,0.0900205580626516,0.0849410967076045,0.0840024179365922,0.084785313122693,0.0794108160812503,0.0837191716131137,0.0855242855235312,0.0882056235003054,0.0815505634434169,0.0825135198736803,0.0879867450886689,0.0842975941036217,0.0822441280925884,0.093822057136465,0.0969052477658712
