"code","iso","country","TKP.raw.2010","TKP.raw.2011","TKP.raw.2012","TKP.raw.2013","TKP.raw.2014","TKP.raw.2015","TKP.raw.2016","TKP.raw.2017","TKP.raw.2018","TKP.raw.2019","TKP.raw.2020","TKP.raw.2021","TKP.raw.2022","TKP.raw.2023","TKP.raw.2024","TKP.raw.2025"
4,"AFG","Afghanistan",0.592551312760717,0.592551312760717,0.592551312760717,0.592551312760717,0.592551312760717,0.592551312760717,22.2099339040372,22.2120545700887,22.2120545700887,22.2137898650638,24.5526050068753,24.5526050068753,24.5526050068753,24.5526050068753,24.5526050068753,24.5526050068753
8,"ALB","Albania",41.4826072744655,44.6870831923272,45.8184549415219,46.738758333161,46.738758333161,46.738758333161,46.738758333161,46.738758333161,49.2257521111503,49.2257521111503,49.2257521111503,49.2257521111503,49.2257521111503,49.2257521111503,49.2257521111503,49.2257521111503
12,"DZA","Algeria",87.640367554724,87.674417737097,87.674417737097,87.674417737097,87.674417737097,87.674417737097,87.674417737097,87.674417737097,87.674417737097,87.7666473598501,87.7666473598501,87.7666473598501,87.7666473598501,87.7666473598501,87.7666473598501,87.7666473598501
20,"AND","Andorra",18.0104557490814,18.0104557490814,18.0104563500795,26.1966825896433,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887,26.1966825978887
24,"AGO","Angola",74.0707508540233,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441
660,"AIA","Anguilla",54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586,54.0820594732586
28,"ATG","Antigua and Barbuda",71.5409449632142,71.5409449632142,71.5409449632142,71.5409449632142,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,82.1238488238383,82.1238488238383,82.1238488238383
32,"ARG","Argentina",38.8407347718168,38.8452079786362,39.0267182223183,39.0796711033313,39.3792717841796,39.4802256694572,39.7006207433534,40.0156469341983,40.1860187768238,40.187391256498,40.187391256498,40.1873912597784,40.2043434063675,40.2043434063675,40.2043434063675,40.2043434063675
51,"ARM","Armenia",65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136,65.3377390062136
533,"ABW","Aruba",80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,80.8963412260436,93.4618287495531,93.4618287495531,93.4618287495531
36,"AUS","Australia",36.8134186834004,41.842546682805,42.5753673628466,43.6854368594476,46.0142228431301,46.9502985134501,48.23496072627,48.782611356609,52.4212426042388,52.6609245436426,53.7915105253188,58.8897234528384,59.1116123463537,59.1116123457507,59.1116123457507,59.1116123457507
