"code","iso","country","PAR.raw.2000","PAR.raw.2001","PAR.raw.2002","PAR.raw.2003","PAR.raw.2004","PAR.raw.2005","PAR.raw.2006","PAR.raw.2007","PAR.raw.2008","PAR.raw.2009","PAR.raw.2010","PAR.raw.2011","PAR.raw.2012","PAR.raw.2013","PAR.raw.2014","PAR.raw.2015","PAR.raw.2016","PAR.raw.2017","PAR.raw.2018","PAR.raw.2019","PAR.raw.2020","PAR.raw.2021","PAR.raw.2022","PAR.raw.2023","PAR.raw.2024"
4,"AFG","Afghanistan",0.037904646,0.041633105,0.042462461,0.04319067,0.043646849,0.045219505,0.045543594,0.046512305,0.053743525,0.054516414,0.055013232,0.05556889,0.055787066,0.056608646,0.057349367,0.057782864,0.061469243,0.062252442,0.070703218,0.074332694,0.077735774,0.079950305,0.080330654,0.080974862,0.081112565
8,"ALB","Albania",0.094238723,0.098763528,0.10563302,0.107755965788476,0.110888735348268,0.115637818289943,0.117092221,0.125019588207258,0.130730750359404,0.133984024439807,0.137488178924802,0.140420317761117,0.142178883825396,0.145670828151168,0.14798338778332,0.150777311891308,0.152365355080803,0.153915885861717,0.157934815222133,0.159544165264413,0.161650883959077,0.167281388806149,0.168170788236634,0.169046135600695,0.169329166791297
12,"DZA","Algeria",0.080347569,0.085030432,0.08555304,0.087306989,0.087875027,0.089258081,0.089656555,0.092138283,0.158095802410301,0.158310369048752,0.15880908,0.159160763643575,0.159273607248053,0.159420696867651,0.159977576394162,0.160702921782883,0.162073758838875,0.162437609602019,0.174503428249705,0.176979321613777,0.17743027975025,0.183724692281407,0.183861314827082,0.185179158182581,0.185212462535644
20,"AND","Andorra",0.239950703,0.250465515,0.253772548384898,0.258252320337684,0.293807193690942,0.296307093,0.304469103,0.316945119837303,0.319501822986261,0.336082673378626,0.339936952883914,0.343362887029258,0.344994882046347,0.352942475766842,0.366997201707269,0.370518179232087,0.37387899187373,0.375624619460457,0.378431602362271,0.380635103796103,0.383720627,0.389245183,0.392131241435694,0.393288968628939,0.39390745898347
24,"AGO","Angola",0.095763877,0.096628471,0.099150612,0.100829554535626,0.101639763609205,0.103349157846941,0.106490650622847,0.108837723,0.110273773,0.111256351090664,0.111801543166273,0.129251908623935,0.130586709137004,0.131251858243872,0.132470723,0.133176727058267,0.133330941784083,0.135276018870209,0.135619156109702,0.136368061064855,0.136393905783649,0.136437017808042,0.136653452095664,0.136680334404468,0.136711729603258
660,"AIA","Anguilla",0.115491045353017,0.118217562152502,0.119412498157149,0.121611963076173,0.127492784009626,0.159239662547704,0.163174638502406,0.175424227,0.176795836192672,0.179882616257111,0.183050152816057,0.184182817077323,0.184349345189919,0.184442907254355,0.186763764522955,0.188423569215494,0.188701249966789,0.188782772202831,0.189180784115583,0.189229660033037,0.189258443521391,0.189389477320953,0.190012487545681,0.190042020105978,0.190043876805168
28,"ATG","Antigua and Barbuda",0.149248243442119,0.152286443,0.15396601199596,0.155776834683259,0.159991913520209,0.232333599207341,0.236453737958571,0.238639611518239,0.240521124165938,0.244094340574996,0.246779820998933,0.248560550167447,0.248672814,0.248739676131675,0.251742922607813,0.253044981081432,0.254697857869436,0.254762143884048,0.255302502901147,0.255368604763868,0.25539487407005,0.255478598508936,0.256284427069983,0.256311243776441,0.256314596553154
32,"ARG","Argentina",0.038769405,0.041507691,0.043805652,0.046032678,0.047362674,0.048879944,0.049488231,0.051097932,0.051645338,0.052859671,0.053091225,0.053675832,0.053942413,0.054080321,0.055443034,0.060394759,0.060446589,0.061127962,0.061800501,0.062255464,0.062278964,0.063024667,0.063073043,0.06322791,0.063228627
51,"ARM","Armenia",0.09908399,0.102598950619332,0.105268062341992,0.106444237844237,0.107794089577173,0.110334743729257,0.11116815277076,0.114361661,0.116824774196193,0.118184128585785,0.119431170591774,0.122183130952425,0.122625301502972,0.123459557295683,0.124134252560356,0.125107599873307,0.126108207548726,0.12679550286542,0.12873363566775,0.129669381278569,0.130747076239615,0.133151390803307,0.133751232048834,0.13441637912173,0.134643636314597
533,"ABW","Aruba",0.206975726,0.207444513735519,0.208030811544274,0.208133818,0.208432120256028,0.209450178675254,0.211562405768642,0.211998117209075,0.212089778736063,0.212920755045884,0.213075577325563,0.213846924465824,0.213955548094119,0.216615180451243,0.218860324002284,0.223754977273636,0.223765274783025,0.223860675828792,0.22533791651733,0.225532652995885,0.225630279725695,0.225719128,0.226465856718609,0.226868728362402,0.226871980118301
