"code","iso","country","PAC.raw.2000","PAC.raw.2001","PAC.raw.2002","PAC.raw.2003","PAC.raw.2004","PAC.raw.2005","PAC.raw.2006","PAC.raw.2007","PAC.raw.2008","PAC.raw.2009","PAC.raw.2010","PAC.raw.2011","PAC.raw.2012","PAC.raw.2013","PAC.raw.2014","PAC.raw.2015","PAC.raw.2016","PAC.raw.2017","PAC.raw.2018","PAC.raw.2019","PAC.raw.2020","PAC.raw.2021","PAC.raw.2022","PAC.raw.2023","PAC.raw.2024"
4,"AFG","Afghanistan",0.030680443,0.030876466,0.030829905,0.030870266,0.03061339,0.030667587,0.030076271,0.030409595,0.030482183,0.030734576,0.030785553,0.030572379,0.030429801,0.030660557,0.030816559,0.030672242,0.042211579,0.042200894,0.042298874,0.045702678,0.05278302,0.053333486,0.053171797,0.053529191,0.052920895
8,"ALB","Albania",0.075126145,0.074333161,0.075089099,0.073712259,0.072512239,0.074320879,0.074106638,0.080057065,0.084686587,0.085370748,0.084841321,0.090097829,0.094229064,0.096736253,0.096164171,0.096794228,0.096591931,0.097453559,0.102821171,0.103034487735242,0.103025732,0.103452681306683,0.103893332232363,0.103436748191332,0.103373567867589
12,"DZA","Algeria",0.032037539,0.035927673,0.035922038,0.037822899,0.037919627,0.037949092,0.037963736,0.037987666,0.038163925,0.03812314,0.037866932,0.037846299,0.037915459,0.037869602,0.037898387,0.037891779,0.038092852,0.038076409,0.038153549,0.038045288,0.038008284,0.038010755,0.038002615,0.038065437,0.038103277
20,"AND","Andorra",0.068665588,0.068644345,0.066688333,0.068087704,0.06764644,0.06686653,0.067481938,0.068342637,0.06730288,0.072470534,0.071634445,0.071761043,0.07170369,0.108716227467221,0.115260402460645,0.116908703658943,0.119279372,0.120083254768961,0.122049574245539,0.122109277587282,0.122597520785439,0.124266874165904,0.123868109876676,0.121793019206744,0.121525933320385
24,"AGO","Angola",0.050039901,0.049770355,0.049907824,0.04977175,0.049583768,0.049031537,0.049349317,0.049241617,0.049078068,0.049150694,0.04912384,0.093875893,0.094100617,0.093994208,0.094092025,0.09328205,0.092945084,0.092975544,0.093244577,0.093527962,0.093279584,0.093012055,0.092869145,0.092898538,0.09268826
660,"AIA","Anguilla",0.000116496,0.000504155,0.000500111,0.000501638,0.000513988,0.00051559,0.00051358,0.00720702,0.007159517,0.007072158,0.007193075,0.007163399,0.007019803,0.007075146,0.007124723,0.006973205,0.007114086,0.007187095,0.007014433,0.007013305,0.007046859,0.007046708,0.007062613,0.00713186,0.007121697
28,"ATG","Antigua and Barbuda",0.06433704,0.064519272,0.064020323,0.063391724,0.063700693,0.138898329301314,0.138921383944425,0.137909323952415,0.138876495361328,0.135729453,0.135618910356001,0.134497680664063,0.134530001553622,0.134521206942471,0.135881958007812,0.133768255060369,0.134387165416371,0.134959217418324,0.13400185324929,0.134120330810547,0.134187455610795,0.133269639,0.133253534490412,0.133141867897727,0.133174937855114
32,"ARG","Argentina",0.041881426,0.042860481,0.046756044,0.047475465,0.048662927,0.049651396,0.050147804,0.052253302,0.05211843,0.05406734,0.054122721,0.054343702,0.054234842,0.05412287,0.055217546,0.058771243,0.058913873,0.058979535,0.059445642,0.059425957,0.059405054,0.060720876,0.060592319,0.060644647,0.060761221
51,"ARM","Armenia",0.18763298340945,0.187038156,0.18740750789266,0.188970184068102,0.186618198,0.18775124820301,0.187284096995152,0.187958650742756,0.186984092238415,0.18562696876057,0.185657535199853,0.189784180678487,0.191137494362386,0.18962705420566,0.187182840159544,0.187730745785883,0.187922777018266,0.18830750014094,0.193011186259725,0.190810248477844,0.191586697697035,0.190970282,0.190346686844627,0.190908554374789,0.18957887
533,"ABW","Aruba",0.152544176256334,0.150914974040813,0.151351344478023,0.152650472280141,0.137737540511398,0.137375883153967,0.136596121229567,0.136399604178764,0.136856500092927,0.134837804,0.137193361918132,0.139210812680356,0.137238184611003,0.131868542851628,0.128224329905467,0.125825838999705,0.12664507960414,0.12343252886523,0.119930851566899,0.118433617256783,0.119376577772536,0.115328453682564,0.113107655499432,0.113279806601035,0.112611968238074
36,"AUS","Australia",0.046776801,0.046756342,0.05947681,0.059715451,0.060242786,0.061347013,0.062754,0.069131891,0.069925398,0.074877935,0.077159592,0.082168585,0.095507359,0.108362418957008,0.11789591,0.128231842469028,0.13279166725013,0.134167735237223,0.13512519779391,0.135655853,0.147364289872352,0.164629922842871,0.167446248067071,0.167266821,0.167643841932909
40,"AUT","Austria",0.10107386,0.103402454122071,0.110728845629727,0.112330968158849,0.115048796722123,0.115857009004176,0.121046772903825,0.120797210428251,0.12169505147447,0.123003419846896,0.125421695769254,0.127657125263115,0.132431460577378,0.131963953,0.132663748123059,0.133974567125074,0.136909845542307,0.136583643978533,0.137089451247523,0.142266814693621,0.142796552427511,0.143996048567354,0.14444970965262,0.143056426295347,0.143557171608136
31,"AZE","Azerbaijan",0.101263857713331,0.102124351585493,0.101720707332405,0.10309908445673,0.102364803323353,0.102960122,0.103973876634607,0.10406313585155,0.103253995494402,0.103223543656987,0.102712855,0.103123284445258,0.103588158298947,0.103539032396311,0.104113654346119,0.104153047,0.104510987491087,0.104556372654757,0.105033179836122,0.104929142848406,0.104596157821081,0.104884550276954,0.10463553558019,0.105210483455771,0.104354291269077
44,"BHS","Bahamas",0.045453887,0.04552559,0.06396461,0.06401602,0.062031689,0.062286614,0.06201991,0.061960667,0.061898481,0.063171356,0.063313758,0.063022228,0.215824324492436,0.215237407319865,0.215323665157245,0.239430732484076,0.241444457230295,0.240675149905454,0.240930176,0.240685538,0.239755128508161,0.239841790654857,0.239802075039809,0.239374891,0.240736340565287
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
