"code","iso","country","LDA.raw.2005","LDA.raw.2006","LDA.raw.2007","LDA.raw.2008","LDA.raw.2009","LDA.raw.2010","LDA.raw.2011","LDA.raw.2012","LDA.raw.2013","LDA.raw.2014","LDA.raw.2015","LDA.raw.2016","LDA.raw.2017","LDA.raw.2018","LDA.raw.2019","LDA.raw.2020","LDA.raw.2021","LDA.raw.2022","LDA.raw.2023"
710,"ZAF","South Africa",121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309,121309
410,"KOR","South Korea",9685,9688,9692,9699,9706,9720,9719,9731,9742.6,9743,9744.5,9748.9,9751,9752,9760,9760,9760,9760,9760
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,63193,63193,63193,63193,63193,63193,63193,63193,63193,63193,63193,63193
724,"ESP","Spain",49909,49898,49911,49880,49866,50001,49988,50021,50021,50021,49966.1,49956.4,49954.735,49960.3479,49957.0036,49955.6645,49973.3244,49971.3681,49969.74
144,"LKA","Sri Lanka",6271,6271,6271,6271,6271,6271,6271,6271,6271,6271,6189.3,6189.3,6189.3,6186.4,6186.447,6186,6186,6186,6186
670,"VCT","St. Vincent and the Grenadines",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
275,"PSE","State of Palestine",602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602.5,602.5,602.5
729,"SDN","Sudan",237600,237600,237600,237600,237600,237600,237600,186800,186800,186800,186800,186800,186800,186800,186800,186800,186800,186800,186800
740,"SUR","Suriname",16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761,16050.761
752,"SWE","Sweden",40733.97,40733.97,40733.97,40733.97,40733.97,40733.97,40733.97,40733.97,40733.97,40733.97,40731.064,40731.064,40731.064,40731.064,40728,40728,40728,40728,40727
756,"CHE","Switzerland",3951.747,3951.6245,3951.502,3951.4422,3951.3824,3951.3225,3951.2626,3951.2028,3951.1428,3951.0829,3951.023,3950.963,3950.963,3950.963,3950.963,3950.963,3950.963,3950.963,3950.963
760,"SYR","Syria",18357,18363,18364,18364,18364,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363,18363
158,"TWN","Taiwan",3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541
762,"TJK","Tajikistan",13996,13996,13996,13996,13996,13996,13996,13996,13996,13878.6,13879,13879,13879,13879,13879,13879,13879,13879,13879
834,"TZA","Tanzania",88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580,88580
764,"THA","Thailand",51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089,51089
626,"TLS","Timor-Leste",1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487
768,"TGO","Togo",5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439
776,"TON","Tonga",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
780,"TTO","Trinidad and Tobago",513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
788,"TUN","Tunisia",15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536,15536
792,"TUR","Turkiye",76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963,76963
795,"TKM","Turkmenistan",46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993,46993
796,"TCA","Turks and Caicos Islands",95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
798,"TUV","Tuvalu",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
800,"UGA","Uganda",19981,19981,19981,19981,19981,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052,20052
804,"UKR","Ukraine",57938,57936,57933,57932,57932,57932,57932,57932,57932,57929,57929,57929,57930,57940,57940,57940,57940,57940,57940
784,"ARE","United Arab Emirates",7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102
826,"GBR","United Kingdom",24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7,24247.7
840,"USA","United States of America",917234,917234,917234,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784,915784
858,"URY","Uruguay",17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502,17502
860,"UZB","Uzbekistan",43584.9,43585,43598.4,43596.7,43594.5,43589.2,43580.9,43580,43578.9,43578.9,44060,44059.1,44058.8,44058.7,44055.5,44065,44065.3,44065.2,44065
548,"VUT","Vanuatu",1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219
862,"VEN","Venezuela",88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205,88205
704,"VNM","Viet Nam",31283.7,31279.5,31255.8,31279.2,31276.2,31329.4,31328.4,31345.7,31300.733,31337.1,31338.3,31338.7,31340.3,31342.9,31342.9,31342.9,31342.9,31342.9,31342.9
876,"WLF","Wallis and Futuna Islands",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.2
732,"ESH","Western Sahara",26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600
887,"YEM","Yemen",52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797
894,"ZMB","Zambia",74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339,74339
716,"ZWE","Zimbabwe",38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685,38685
