"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019","SOE.raw.2020","SOE.raw.2021","SOE.raw.2022","SOE.raw.2023","SOE.raw.2024"
4,"AFG","Afghanistan",0.001237679464451,0.00132621659121677,0.00137031877669223,0.00148372518571452,0.00157998822017704,0.00170803690903874,0.00170915691653112,0.00183276758176547,0.00189030076751809,0.00191885807872143,0.00199937986253818,0.00205473623203305,0.00207716074828412,0.00228718841325262,0.00226790013339057,0.00229405422971652,0.00231444392268715,0.00238336421583734,0.00262396900172569,0.0025918306899384,0.00256929396075546,0.00257898998622019
8,"ALB","Albania",0.0162414965701308,0.014400344389578,0.0145162408205394,0.013484878330235,0.0121231941347923,0.0111151476224571,0.00977196206789735,0.00821869347059543,0.00902293307792264,0.00816656536926441,0.00749429873614324,0.00674413370397008,0.00697531028872835,0.00620084462862462,0.00627150938550811,0.00634997377294206,0.00582718968229733,0.00526220087642807,0.00531665197024065,0.00553717501672074,0.00516029608796685,0.00559384328019536
12,"DZA","Algeria",0.00632297262513216,0.00681862832482788,0.00703026697024916,0.00704214732614673,0.00688612923503314,0.00685394167291628,0.00667493298324908,0.006441837129765,0.00766964374368367,0.00891001185146257,0.00854589430215155,0.010364911478743,0.0115613239969773,0.0122843131628308,0.0129942444876068,0.0136036822357714,0.0140929465818653,0.0161418269935068,0.0154151228856471,0.0167211618389212,0.0158688917969725,0.0158177795241027
20,"AND","Andorra",0.00699964557510282,0.00635711877765785,0.00598774480098914,0.00570795940561836,0.00488934450735357,0.00453465945421893,0.00407166678047066,0.0034329708223758,0.00334746829974031,0.00310542487441282,0.00276227006344448,0.00271209679063926,0.00254307085489455,0.00234437277107548,0.00217594036501457,0.00189881620965531,0.00179882711476146,0.00159911593632792,0.0015501264490545,0.00165811681300046,0.00162506492231746,0.00158684984400633
24,"AGO","Angola",0.00167461493737196,0.00170499411895906,0.00169698885463314,0.00174460565710137,0.00186800576291941,0.00187648174704809,0.00181787084001405,0.0018962161342969,0.00203955483545575,0.00184276161248401,0.00198186536714351,0.00190880769675413,0.00205632665427491,0.00222869818758494,0.00209842050781372,0.00223414316378181,0.00247228057318886,0.00247810164634469,0.00253158212942149,0.00238192598458726,0.00256992790794779,0.00265010516387036
660,"AIA","Anguilla",0.000853989696275437,0.000695959339150695,0.000844076471427149,0.000807309337650222,0.00081069346172093,0.000648800840295325,0.000704949855034861,0.000923846523562285,0.000706606187918151,0.000761022711532758,0.000649862619851377,0.000676908886655189,0.000748724577714624,0.000805677822004634,0.000650810998803337,0.000536688563123234,0.000619628912350647,0.00061438502988078,0.000573623549946131,0.000544859645509285,0.000692471562025217,0.000715998015206466
28,"ATG","Antigua and Barbuda",0.00263463765097161,0.00222382161777401,0.00272854266445285,0.00264160988882746,0.00239848275114411,0.0020044461121251,0.00208838517604946,0.00288602739979198,0.00233858545045586,0.00222924815911794,0.00206361044906726,0.00206487540794198,0.00226042256552925,0.00266754379872082,0.00165929659660037,0.00154825603351676,0.0016976384506491,0.00163242125081322,0.0015610050410077,0.00150725810962778,0.00171121875360814,0.00176815648531477
32,"ARG","Argentina",0.0025310179139885,0.002306246322792,0.00219539088628355,0.00223013051589842,0.00212140166162086,0.0021883113813332,0.00198431256953765,0.00185891639278929,0.00181723985491743,0.00178683646871845,0.00178845625643877,0.00169959135710685,0.00170348476207541,0.00162995158143562,0.00159238198114622,0.00156435523273254,0.00154315856772067,0.00166739275894361,0.00155832042071691,0.00166638620346073,0.0015363538809039,0.0015615186856394
51,"ARM","Armenia",0.00548561786270884,0.00553708628193698,0.00568992332418017,0.00636060308326736,0.0069172627444726,0.00800872094329307,0.00830102898471562,0.00888558216490855,0.00872783466106049,0.00901512632540572,0.0089726072191639,0.00925388966657733,0.00888240749099528,0.00909628424833028,0.00925191499148656,0.00866177025842385,0.00947185307744491,0.00921046650525212,0.00921931729280463,0.00916239314002714,0.00897585332956888,0.00885076447797687
533,"ABW","Aruba",0.00258528582667956,0.00243708694645093,0.00258590231364641,0.0024197985205969,0.00235767116723505,0.00212763088727544,0.00216379602690208,0.00235147792949577,0.00220621466885856,0.00221215278792636,0.00216999165072536,0.00208069804179213,0.00212871624904252,0.0023330461215063,0.00226584631743899,0.00212214798673067,0.00225504608319034,0.00209050577669733,0.00205397662347747,0.00200906801431925,0.00226948760969642,0.00219311585650647
36,"AUS","Australia",0.0157805944746115,0.0152446147658474,0.0152885118154821,0.0143434178677314,0.0134415623875791,0.0128085771627805,0.0123237657373981,0.0118438919571698,0.0110441399239617,0.0106240789859728,0.0101892985459361,0.00991108153829168,0.00948853840597646,0.00860691838549626,0.00798317847718176,0.0074010060439417,0.00745043954737463,0.00648859264052366,0.00644378076881431,0.00629422239943352,0.00662752904618223,0.00664021747534438
40,"AUT","Austria",0.00667044466216743,0.00587691042782511,0.00603570093630696,0.00554187159534206,0.00487634121391714,0.00473829249448832,0.00429401759636315,0.00386058155706192,0.00373812768750531,0.0034428510919796,0.00330765024730589,0.00324330468282699,0.00314576468806359,0.00288294213236488,0.00265773196948665,0.00277357975775327,0.00245862632356897,0.0022684253590283,0.00227407265433967,0.00228029793889867,0.00228136875318352,0.00232026523217225
31,"AZE","Azerbaijan",0.0137700305117253,0.0142396482829907,0.0135553530409845,0.0128670055243817,0.0121292802743999,0.0110849329428056,0.0104454724006166,0.0100098916092399,0.0090836482342753,0.00925730264247752,0.00901551795431536,0.00879298469990178,0.00863784875630023,0.00847832687926879,0.00785879026722486,0.00741642615130136,0.00756967402895089,0.00748516418251859,0.00755582078894604,0.00736704995997171,0.00744344243775721,0.0074717214818573
44,"BHS","Bahamas",0.00317674797789957,0.002737879654544,0.00277176014295405,0.00273074788647784,0.0025961921894774,0.00240895507896586,0.00234495495316527,0.00218517053719692,0.00222513049022925,0.00219347565912531,0.00214149738577597,0.00233310148705011,0.00242319913408527,0.0022016511058954,0.00147703621747302,0.00141650597189902,0.0013905004059693,0.00139679922025575,0.00143044367981662,0.00134474006151797,0.00137510450787418,0.00137244291192171
48,"BHR","Bahrain",0.03538913301422,0.0363664351130842,0.0360858684890173,0.0364926558310759,0.0351362974038348,0.0341285892067747,0.032625407384599,0.037319466669812,0.0333000070766039,0.0340168550862241,0.0336936724563541,0.0338557951572633,0.0342300410510041,0.0373128922578643,0.0379625233915854,0.0367594451763047,0.0355898299924039,0.0347219125191045,0.0365176758416183,0.0371880937471894,0.0371538668105057,0.036453234214989
50,"BGD","Bangladesh",0.0110385432397243,0.0119267342385538,0.0128163631858676,0.0143916942988475,0.0145557078327699,0.015488199193716,0.0170425284458488,0.0165522054038945,0.0180084939325441,0.018695642918003,0.0190825072278589,0.0201865483088548,0.0205026765873819,0.0205282137700815,0.0196799054448559,0.0215508402327802,0.0230501351220015,0.0243624906426608,0.0247616156483842,0.0233904259471112,0.024845241218104,0.0241444978358047
