"code","iso","country","PSU.raw.1965","PSU.raw.1966","PSU.raw.1967","PSU.raw.1968","PSU.raw.1969","PSU.raw.1970","PSU.raw.1971","PSU.raw.1972","PSU.raw.1973","PSU.raw.1974","PSU.raw.1975","PSU.raw.1976","PSU.raw.1977","PSU.raw.1978","PSU.raw.1979","PSU.raw.1980","PSU.raw.1981","PSU.raw.1982","PSU.raw.1983","PSU.raw.1984","PSU.raw.1985","PSU.raw.1986","PSU.raw.1987","PSU.raw.1988","PSU.raw.1989","PSU.raw.1990","PSU.raw.1991","PSU.raw.1992","PSU.raw.1993","PSU.raw.1994","PSU.raw.1995","PSU.raw.1996","PSU.raw.1997","PSU.raw.1998","PSU.raw.1999","PSU.raw.2000","PSU.raw.2001","PSU.raw.2002","PSU.raw.2003","PSU.raw.2004","PSU.raw.2005","PSU.raw.2006","PSU.raw.2007","PSU.raw.2008","PSU.raw.2009","PSU.raw.2010","PSU.raw.2011","PSU.raw.2012","PSU.raw.2013","PSU.raw.2014","PSU.raw.2015","PSU.raw.2016","PSU.raw.2017","PSU.raw.2018","PSU.raw.2019","PSU.raw.2020","PSU.raw.2021","PSU.raw.2022","PSU.raw.2023"
36,"AUS","Australia",12.07168,12.48592,13.15394,13.17774,12.68336,11.73464,11.76248,12.69082,14.67204,14.15468,13.63484,13.50372,12.8209,11.05464,11.74222,12.5344,11.94332,11.12786,10.0989,8.9379,7.66316,7.0195,7.0039,7.63436,8.17326,8.0951,8.15698,8.11246,7.80494,8.00916,9.62692,10.19712,9.99836,10.10436,9.55302,8.33174,8.09082,7.74532,8.02882,7.88768,7.63398,7.06918,7.66948,6.89706,5.99312,5.58388,4.97802,3.26918,2.49966,2.66764,2.60858,2.82496,2.86762,3.10374,3.53194,4.00318,4.06694,3.79066,3.09308
40,"AUT","Austria",36.53056,37.75336,39.12596,38.67752,39.54516,38.9817,39.46324,38.7381,39.19586,36.6168,34.64532,32.44356,31.19482,29.6285,30.49166,31.202,31.27334,30.24018,30.5785,30.13642,29.97856,29.37372,29.14974,27.68566,25.91746,24.747,24.08568,23.67678,23.30018,22.78188,21.62088,20.9792,20.11102,19.25482,18.6287,18.33124,17.3841,16.69494,16.06958,14.98784,13.84616,13.21618,12.62418,11.1823,10.1638,9.85724,9.21056,8.92252,9.58728,10.1343,10.22568,10.10188,9.84572,9.2302,8.95288,8.61658,8.03974,6.76676,6.08708
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9864,0.7077,0.4718,0.35385,0.28308,0.0858000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23984,1.93204,1.93204,1.93204,1.93204
44,"BHS","Bahamas",15.8767,16.20514,17.42744,18.94668,20.30728,21.7466,23.75062,24.99944,26.62362,27.40878,27.07014,28.05158,29.79758,28.54046,27.8682,27.30376,25.98876,25.53416,28.43264,29.73328,29.0256,27.10222,23.46074,18.7486,16.1229,16.2299,15.8487,15.56476,15.05722,14.24328,15.00936,17.15158,18.39312,21.76764,22.62942,21.47754,20.36912,20.23636,18.807,20.15668,22.1069,23.0778,23.8018,24.0313,24.32616,23.65604,22.67716,21.74802,20.91324,19.54658,20.046,21.04124,22.35314,22.73984,23.72702,22.1513,20.34598,18.18556,16.79326
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40686,1.17032,2.92828,4.6088,6.81056,10.54494,10.84968,10.2002,10.55144,11.13696,10.25414,12.40404,14.48816,15.55006,15.72148,15.41164,15.16998,16.22372,15.0707,13.80792,12.33108,10.5145,7.46646,6.71034,6.32486,5.7816,6.51378,6.24714,5.91902,5.78736,6.35394,6.38386,7.65346,9.01848,9.98288,12.067,12.8893,13.33662,14.82464,15.08626,14.04176,13.7951,13.6895
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0.04648,0.25572,0.65808,0.7734,0.90102,1.00474,1.23084,1.19158,1.19716,1.37054,1.77104,1.9752,2.33512,3.10358,3.49776,3.65666,3.15508,2.76746,2.19844,1.50326,0.79366,0.78554,0.71052,0.90312,1.58374,2.46472,2.7994,3.6264,4.05848,4.1209,3.35024,2.88576,1.79838,1.31914,2.40486,4.49588,6.94748,9.86152,12.6692,14.25024,15.15334,16.44448,17.84522,19.44776,23.67086,27.11262,29.90166
52,"BRB","Barbados",0,0,0,0,0.10238,0.10238,0.79342,0.79342,0.79342,1.1458,2.3628,7.00008,10.84546,15.73848,19.59062,22.25466,21.8259,23.50824,26.50474,29.30614,30.6642,31.853,28.74194,23.4824,18.82332,15.86284,12.1091,11.79854,11.51834,11.50366,12.12648,12.26624,12.53756,12.95592,13.14336,12.6077,12.58674,11.77678,13.0061,12.712,13.10714,16.7599,21.31186,21.18478,23.9814,32.26354,31.36552,34.47664,35.35476,35.45146,31.60158,38.15628,38.45632,43.50302,48.14578,50.68952,48.53204,48.82192,48.26592
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8823,21.12465,16.5096666666667,14.124225,13.15506,10.26196,8.61716,8.44618,8.63644,8.06536,7.51546,6.9361,7.20952,7.75624,9.27852,10.8719,12.2732,14.05414,15.48296,17.02106,17.3285,17.70716,16.52644,15.15632,12.33968,10.49692,9.25672,8.7046,8.1397,8.3513,8.55216,8.42104
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0465,40.7076,39.9261666666667,39.106425,38.54058,37.97706,37.18042,36.64284,34.08154,31.65578,29.54482,27.25694,25.69616,26.1363,25.72392,25.16718,25.2756,23.97514,23.98168,24.23878,24.41314,23.86206,23.90942,22.54372
84,"BLZ","Belize",3.60104,4.64252,4.98824,4.97732,6.34222,6.8557,5.60056,4.71816,5.49382,4.94614,4.82934,5.11304,4.64356,2.63556,1.81892,0.47582,0.14624,0.14624,0.14624,0.14566,0.0346999999999998,1.08894,2.07244,2.77612,3.28698,4.25078,4.40598,4.93608,6.0246,5.82026,6.29956,5.21726,4.6814,4.18472,5.178,4.0776,4.75136,10.81896,11.97766,10.82724,10.44984,10.28834,3.243,0.78878,0.98904,0.98904,7.87548,8.93228,11.74592,13.50078,18.08508,15.7841,18.43392,20.57162,25.38124,25.63734,24.81494,22.05426,21.07344
