"code","iso","country","TBN.raw.1990","TBN.raw.1991","TBN.raw.1992","TBN.raw.1993","TBN.raw.1994","TBN.raw.1995","TBN.raw.1996","TBN.raw.1997","TBN.raw.1998","TBN.raw.1999","TBN.raw.2000","TBN.raw.2001","TBN.raw.2002","TBN.raw.2003","TBN.raw.2004","TBN.raw.2005","TBN.raw.2006","TBN.raw.2007","TBN.raw.2008","TBN.raw.2009","TBN.raw.2010","TBN.raw.2011","TBN.raw.2012","TBN.raw.2013","TBN.raw.2014","TBN.raw.2015","TBN.raw.2016","TBN.raw.2017","TBN.raw.2018","TBN.raw.2019","TBN.raw.2020","TBN.raw.2021","TBN.raw.2022","TBN.raw.2023","TBN.raw.2024","TBN.raw.2025"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,1.66125518350981,1.66151406119664,1.66151406119664,2.36597182048065,3.50344779315595,3.50344779315595,3.50344779315595,3.50344779315595,3.50344779315595,3.50344779315595
8,"ALB","Albania",15.4521365497956,15.4521365497956,15.4521365497956,15.4521365498,15.4521365497956,15.4748257601037,16.3748052640805,16.408242990059,16.408242990059,16.7045346577251,16.7045346577251,16.7045346577251,16.7202129051967,16.9434866993611,16.9462587259924,16.9658617695704,17.7685087855502,18.5444130867721,19.388909210625,19.3889092105904,19.3968765484205,19.4621074592074,20.1752590696464,20.4712240861037,20.4712240861037,20.4712240861037,20.4712240861037,20.4712240861037,21.4834292844514,21.4834292844514,21.4834292844514,21.4834292844514,21.4834292844514,21.4834292844514,21.4834292844514,21.4834292844514
12,"DZA","Algeria",26.0193092650482,26.0193092650482,26.0193092650482,26.0228576252722,26.0228576252722,26.0228576252722,26.0228576252722,26.0228576252722,26.0228576252722,26.0228928773799,26.0228928773799,26.6879850004252,26.6879850004252,26.9079636248183,26.9626848691579,26.9626848691579,26.9626848691579,26.9626848691579,29.899098674039,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9024479372848,29.9125996316026,29.9125996316026,29.9125996316026,29.9125996316026,29.9125996316026,29.9125996316026,29.9125996316026
20,"AND","Andorra",5.33676706336578,5.33676706336578,5.33676706336578,5.3764029968033,5.3764029968033,5.3764029968033,5.3764029968033,5.3764029968033,5.3764029968033,5.3764029968033,17.8954983159723,17.8954983159723,17.8954983159723,17.9759371563568,17.9759371563568,17.9759371563568,17.9759371563568,17.9759371563568,17.9759371563568,17.9759371563568,17.9759371563568,17.9759371563568,17.975937755599,26.9034901562374,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516,26.9034901674516
24,"AGO","Angola",5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311988948,5.43722311988948,5.43722311988948,5.43722311988948,5.43722311988948,5.43722311988948,15.2160380483622,15.2160380483622,15.2160380483622,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788
32,"ARG","Argentina",4.18022443069627,4.21013840464836,4.36626944434194,4.51449909801339,4.96922929722475,5.06379211826204,5.14773336722411,5.37035369416402,5.39796525177108,5.7706229869815,6.17962219703522,6.38599935784097,6.48783089612288,6.75732300099449,7.01306557840858,7.15401991548962,7.23705756373749,7.2418083084889,7.27880420577642,7.68535456026507,7.69463556279899,7.76255633537636,7.79019436093222,7.79989976504792,7.84817621294464,8.03171906068483,8.0324851392953,8.07891008453483,8.13610272850451,8.14135738625454,8.14135738625454,8.35303515008823,8.35508555300845,8.35508555300845,8.35508555300845,8.35508555300845
51,"ARM","Armenia",NA,NA,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864,29.9987813877864
533,"ABW","Aruba",1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,1.70464387727501,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,13.0279836304621,17.3933043961365,17.3933043961365,17.3933043961365
36,"AUS","Australia",3.70785532404523,4.12602136865802,4.28753762630437,4.41954940470289,4.64845969518553,4.68285008666996,4.78654897691008,4.82771330579342,4.89133435380573,5.09970402642348,5.52999103092031,5.56776624259363,7.08223694766434,7.17271685634245,7.29291216920009,7.45247799492611,7.68483928954279,8.56909013973703,8.75049502359137,9.44050090495409,9.79596884511922,10.542781683769,12.2090188548685,14.0277734741931,15.3695985938255,16.6990565401812,17.3523634832474,17.5344503784908,17.6786975173287,17.7570281064709,19.2287113815352,21.370111203113,21.7769636227263,21.8076588518007,21.8076588518007,21.8076588518007
40,"AUT","Austria",15.6288647345267,16.7790376924164,16.7904368978572,16.7931637474852,16.7953932830017,17.2935383681852,18.8836907261915,20.08948049959,20.9699154565152,21.2189939240201,21.3673175358289,21.9621839469202,23.2110763291704,23.2530413320799,23.6478125660524,23.9580253999635,25.0345347935703,25.0977847882165,25.1776903983839,25.2501653466839,25.286966712704,25.7587286580474,25.7587297567677,25.7764757578871,25.83139779372,25.8441813012986,25.8441831140525,25.8453447815188,25.8567340157027,25.8577999096281,25.9582010824272,26.0718235833208,26.085598524651,26.0874724342995,26.2050238896253,26.2050238896253
31,"AZE","Azerbaijan",NA,NA,19.4416626261693,19.4429218374992,19.4429218374992,19.4429218374992,19.4429218374992,19.4429218374992,19.4429218374992,19.4429218374992,19.4429218374992,19.5351610927615,19.5351610927615,19.6569728033425,19.8274722346536,19.8274722346563,19.9830687552231,19.9830687552231,19.9885141395927,19.9885141395688,19.9885141395688,19.9885141395688,19.9885141395688,19.9885141395688,19.9885141395688,19.9885141395688,19.9885141395688,19.9885141395688,19.9885139519642,19.9885139519642,19.9885139519642,19.9885139519642,19.9885139519642,19.9885139519642,19.9885139519642,19.9885139519642
44,"BHS","Bahamas",0.124938731277628,0.124938731277628,0.127902443379919,0.127902443379919,0.76302113993458,0.76302113993458,0.76302113993458,6.35786053784389,6.35786053784389,6.35786053784389,6.35786053784389,6.35786053784389,8.48956743023189,8.48956743023189,8.48956743023189,8.48956743023189,8.48956743023189,8.48956743023189,8.48956743023189,8.49032445142133,8.49032445142133,8.49032445142133,23.803419284151,23.803419284151,23.803419284151,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258,24.7701206093258
48,"BHR","Bahrain",0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.811873593180204,0.877871059464609,0.877871059464609,0.877871059464609,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017,2.60536717039017
