"code","iso","country","NDB.raw.2005","NDB.raw.2006","NDB.raw.2007","NDB.raw.2008","NDB.raw.2009","NDB.raw.2010","NDB.raw.2011","NDB.raw.2012","NDB.raw.2013","NDB.raw.2014","NDB.raw.2015","NDB.raw.2016","NDB.raw.2017","NDB.raw.2018","NDB.raw.2019","NDB.raw.2020","NDB.raw.2021","NDB.raw.2022","NDB.raw.2023","NDB.raw.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0442474168484117,0.0412077860369748,0.0350111554340164,0.0319607786462766,0.0226636269662832,0.0152983416452024,0.00915287537292375,0.00264511550109936,-0.00235596081911138,-0.00858295039162316,-0.0119965372688324
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000247824150626075,0.00510987515817662,0.0128976991723961,0.0166618695047973,0.0149854968342042,0.012392573272147,0.00286919587425616,-0.00616751410960592,-0.0147458327270918,-0.0273045818858526,-0.0350674022200755
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0537927481080478,0.0540452037041448,0.0433538746609474,0.0397319989177958,0.0333042910946262,0.0278163431846439,0.0182573437081379,0.00840873771903339,0.0027492731304597,-0.000574479237283931,0.000484455977285858
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226625483136711,0.0245590570235339,0.0218576361144422,0.0204738873387627,0.0121450538196135,0.0105752553904057,0.00734582245823168,0.00558744931464994,0.00304494744611583,0.00151432848715283,0.00215335427821706
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0845305168113613,0.0806839497212537,0.0731989186366173,0.0525313823910094,0.0305615129716332,0.0166159200772251,0.00253919565954286,-0.0089385761675097,-0.0192710592877438,-0.0248192919993065,-0.0271532169840087
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0315258624961056,-0.0310800618193934,-0.0246158804854386,-0.0179322712727072,-0.00832195774014488,0.0075682622823714,0.0084713617267469,0.00310491588128947,-0.00114464289048943,-0.000745972424660679,-0.0013072055555845
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00445055711255549,-0.00493446020301258,0.00117527306291443,0.0114802867528623,0.0181017413762352,0.020640958487069,0.0221143388948117,0.0229794501540983,0.020334107806774,0.0160060886637872,0.0116588858335518
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268955411667924,0.0342441769362078,0.0245021845612565,0.0343086914276296,0.0357598749040224,0.0343437674383664,0.0260915480002604,0.0150288508992849,0.00295664091650916,-0.00467955076045712,-0.00913540682660796
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00273443124769179,-0.00390166179791629,0.00125975854719451,0.00726862129970618,0.0120340653817093,0.0251538949709096,0.0349727171461274,0.0215816957011916,0.0191325295783642,0.0177197553382713,0.0182306151283813
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112016676304991,0.0120922726125368,0.0124175061633016,0.0161433977968801,0.0104739658651283,0.00247558507333778,-0.00998811330868121,-0.00649459415462572,-0.00222988392228585,0.00593479429315269,0.0118616099029432
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000660164245264383,0.00126672718152299,0.003254320951116,0.00296782432063281,0.00102888497906206,-0.00180982512731365,-0.00315487280733484,-0.00456655941525708,-0.00761469125745351,-0.0107093586024219,-0.0113752591774293
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0234247733995787,0.02124558625785,0.0172055493898802,0.0141797324620245,0.0166886069426764,0.022200749497989,0.0228747916298744,0.017569028956345,0.0191687153354192,0.0200473366774527,0.02232822240094
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00561731926961695,-0.00254438093931308,-0.00177629139484892,0.00961307567238334,0.0145805896366624,0.0191757534320069,0.019183368196426,0.0188989923128742,0.0120448523433585,0.0140241988924259,0.0122772832088853
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027141172804831,0.0232472959943983,0.0229182042488436,0.0234503848142968,0.0239883310742921,0.0244607758060802,0.033557705271293,0.0381262429705986,0.0407002111681243,0.042893382843304,0.0421090627563581
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164180842527284,0.0154292058341927,0.0134476157225911,0.0142018756917748,0.0143237316586986,0.0135792668107277,0.0148583963260334,0.0168462485819709,0.0162881621581927,0.0108878825114691,0.00882203344735433
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00210239095468201,0.000765591635665697,0.00215490598067203,0.00107927364157279,0.00586020877475457,0.0128728017216895,0.0170083639232468,0.0139123709282862,0.0111305209698007,0.00881414139725556,0.00434843457791678
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289442837399849,0.0199221287704185,0.00643796008359954,-0.00685507316452949,-0.00784519548746498,-0.00943237497252458,-0.00871154243162819,-0.0066447351362775,-0.00309228717213128,0.000353648532640305,0.00290956035071233
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011034701337205,0.00935157888445226,0.00532034972793638,0.00301812356391551,-0.000133898052574133,-0.00699823178920711,-0.00615705993788596,-0.00391867566643622,-0.00678481372173034,-0.0104833879301093,-0.0140945191137402
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0420241995932462,0.033260330499687,0.0231492292496007,0.0215835813234053,0.0122561063282078,0.0068699052362331,0.00431496449318369,0.0159926047162984,0.0149882828397767,0.0232541115231779,0.0263065301353824
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0274619717366387,0.0291880918329903,0.0311285907731038,0.0327368959248149,0.0328077483767557,0.0331221950044103,0.0300118865893531,0.0283994834219312,0.027906432680104,0.0303386316752476,0.0314878599851773
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0293495034909481,-0.0336669967384077,-0.0182853650498338,0.00084182189694948,0.0209445327421052,0.0267113884096879,0.0292060081444849,0.00728827081122541,-0.00877317645161335,-0.00868540070967283,0.00355279851777413
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0188338172644942,0.0156448056849303,0.0175026819522308,0.020315263553669,0.0245336822715752,0.0229816886990346,0.0211234933617108,0.0182756864700995,0.0144708258953201,0.0108014021372111,0.0070594949766396
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014550664694124,0.0104227121080605,0.00859042053976933,0.00917564774775537,0.00605754962795846,0.00727177439931892,0.0213543448625548,0.025767501508857,0.0287199130399121,0.0315768475573885,0.0428160257776409
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00512067999065402,0.00717555160267258,0.0300198860478933,0.047607080072968,0.0591693163938234,0.0634002736814423,0.0637120172200332,0.052359882474758,0.0367547018673202,0.0181922346127363,-0.00447173322251504
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0207427003668095,0.00972139546368855,-0.00490567270010323,-0.0175086844304132,-0.0157283417859886,-0.0341494230337187,-0.0354297095793051,-0.0023322368298031,0.00113517286611731,0.0157359015920315,0.00228138595687
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164723510069704,0.0164042508857287,0.0160251079837082,0.0167437050985118,0.0145312600807352,0.0108737246781505,0.0118586857402965,0.0154212885127711,0.0177395890898462,0.0203325248192046,0.0223966625167682
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170964341383262,0.0135437983657412,0.0124268644417764,0.00868163740670203,0.00562059870622256,0.0102516958786327,0.015800875789711,0.0157409899563805,0.015794684985909,0.0162058499060029,0.0172090956661137
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00167548269844475,-0.0112924195604178,-0.010180375078248,-0.0073621907469944,0.000401351058862298,0.0512677618130448,0.133540830087673,0.197689118532159,0.244486593119192,0.276143954763405,0.27930501186771
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0176295204732821,0.0273995778650444,0.0372148934142837,0.0432277712566991,0.0432682761567351,0.0400145171914892,0.0338727690472298,0.0245417607969365,0.0148377834933353,0.00586466435681054,0.00435060191379244
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227937800122877,0.022800964688771,0.0228182588678321,0.0227288365202687,0.0231531591508443,0.0236811478973975,0.0125391396426755,0.0133850226584589,0.0131644901736292,0.00942317700159356,0.00574303961997491
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0518526971047533,0.0491976314739824,0.0478317639608135,0.0501929271833019,0.0495141550512315,0.0420069290067178,0.03348824835932,0.0311030003258648,0.0251845192570843,0.0292736862029861,0.0309320740414385
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00807218609206561,0.0110884688342272,0.0149081520658858,0.0110407329235984,0.00253294955759165,-0.00163813856571449,-0.00617629033747213,-0.00727500798358949,-0.00824581150837744,-0.00878418252479207,-0.0062543253060442
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00167063355855612,-0.0055058399444341,-0.00413349110922534,-0.00084066543249528,0.00176803090932798,0.00557330263177813,0.00696921160979302,0.0117966345243876,0.00915475547040057,0.00467599519390127,-0.00220989984073872
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055901305927526,0.0151855740765894,0.0208770209115949,0.0246211084729511,0.0220430210774931,0.0189760789681515,0.0161360260324945,0.0129508875124789,0.0110200095468838,0.00882803804816268,0.00842801537211235
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0114385017333529,0.0117225530219724,0.011543906977179,0.0135100513660711,0.0140518643527787,0.0131083591629666,0.0107429719154171,0.0072521783657078,0.00700512311369694,0.00934364731086745,0.0098261946043503
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0195486158458609,0.0114834659430474,0.00655612593650434,0.0128125887847252,0.0249741408798965,0.0449668724193408,0.0572027747909849,0.0518062916168973,0.0458618856350015,0.0399317433256647,0.0338531850602357
