"code","iso","country","TCL.raw.2005","TCL.raw.2006","TCL.raw.2007","TCL.raw.2008","TCL.raw.2009","TCL.raw.2010","TCL.raw.2011","TCL.raw.2012","TCL.raw.2013","TCL.raw.2014","TCL.raw.2015","TCL.raw.2016","TCL.raw.2017","TCL.raw.2018","TCL.raw.2019","TCL.raw.2020","TCL.raw.2021","TCL.raw.2022","TCL.raw.2023","TCL.raw.2024"
4,"AFG","Afghanistan",0.000922112609507717,0.000984309694492179,0.00105613104813617,0.000923154656924404,0.000795909493674553,0.000651775472058885,0.000613863081530344,0.000406317890377061,0.000303221894182257,0.000237434040231853,0.000152166052218318,4.22593262445574e-05,4.0541465864033e-06,2.76279138037419e-05,4.16199407987824e-05,7.71762476877264e-05,0.000102915972328989,0.000108623811007535,9.79669807160074e-05,9.07655025399331e-05
8,"ALB","Albania",0.00282524598270037,0.0019720320553667,0.00330844329131412,0.00480637065847833,0.00422079482024667,0.00420835982100198,0.00427746173969465,0.00433090429919181,0.00343638681004096,0.00334840064599595,0.00323443892197217,0.00315487967555698,0.00201104545748102,0.0018501487889881,0.00185688836811608,0.00211392697798836,0.00234749166455085,0.0024734959921376,0.00261362252142623,0.00255668498768613
12,"DZA","Algeria",0.00313075848783725,0.00344874802518938,0.00380683801024919,0.00448393069831464,0.00547991529737562,0.0051752416919182,0.00565413211345924,0.00658737097159083,0.0064164640101621,0.00626228452304797,0.00676913847616213,0.00671501494554895,0.0124470497641442,0.0122566804678277,0.0117281530231982,0.0129325653754875,0.014969685687307,0.00965200737512865,0.0123100576118457,0.012002248064397
20,"AND","Andorra",0.000295605284037101,0.000347956280351591,0.000357583548553432,0.000409254812742796,0.00020138087343455,0.000189361873749594,0.000129206625240142,0.00018743828538296,0.000167598102938722,0.000151956647384169,0.000163374726832983,0.000160365044885889,0.000115331908973537,0.000236710901607712,0.000306982078252396,0.000573740424536759,0.000590563258080394,0.000714899293718317,0.00061755334762829,0.000711265311853338
24,"AGO","Angola",0.00137274325413643,0.00128488438918983,0.00158982536410901,0.00177468932339796,0.0021170867896147,0.00235719855762252,0.00274063240566777,0.0028689297253162,0.00310512665440811,0.00327428710284013,0.00328120197214852,0.00345046499673862,0.00381110850246484,0.00407771632062318,0.00394174600010589,0.00425388319290645,0.0045019864239122,0.00445311460901156,0.00454630183155463,0.00493802202788111
660,"AIA","Anguilla",0.00167085757278869,0.00142818520400757,0.00223250161817106,0.00310603201178981,0.00244740508853926,0.00214235779223418,0.00211463580726708,0.00147671967339803,0.000623978638130056,0.000478389226505809,0.000436794203103128,0.000339721357736941,0.000235731782992212,0.000131730155542836,9.70690797441369e-05,0.000110933193992384,0.000270369404193312,0.000214891003700824,0.000194096724304237,0.000194096724304237
28,"ATG","Antigua and Barbuda",0.00150529387223991,0.00188905544719921,0.0020909015918473,0.00238709785716596,0.00276039449794584,0.00232538737984009,0.00195986570983364,0.00192040645804452,0.0016683763891267,0.00128899792999664,0.00118312631525648,0.00106502012660873,0.00146404911003785,0.00292827634221227,0.00291310985301049,0.00297861092789139,0.00323460627529181,0.00287671052889971,0.00139033729361051,0.0015937443283224
32,"ARG","Argentina",0.00666759641554212,0.007530726566307,0.0091708678527051,0.0109298249450592,0.0102972627484884,0.0105327356938575,0.0114683940711952,0.0117389023102967,0.01063333468723,0.0102814777406514,0.00908865261030051,0.0077122399275735,0.0064619982963709,0.0054188346761865,0.00492915397169389,0.00501708026250475,0.00487161615047955,0.00486281142718117,0.00508280863687432,0.00537765086332233
51,"ARM","Armenia",0.000526898335451876,0.000525656490735084,0.000455593290937769,0.000287691019618646,0.000358660629314657,0.000393191677808154,0.000419458663681759,0.000504448366106731,0.000462179499832677,0.000364445551286974,0.000269337990104717,0.000183873746436997,9.12905814351478e-05,6.99521346313496e-05,4.77335119678906e-05,5.75616858624196e-05,4.26688651459739e-05,2.29065109411814e-05,7.07322958503181e-05,8.79074082386161e-05
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.0057074872902294,0.00555371171465671,0.00584023516091814,0.00504497623376983,0.00541838317127724,0.00595621288004859,0.00564880528212969,0.00454704295578718,0.00480422455218853,0.00517332773746022,0.00503543759951058,0.00649985106624786,0.00695903401119741,0.00691485376469714,0.013441625018742,0.0233511441242833,0.0225476770284138,0.0219900277461657,0.021706023919566,0.0147011670125963
40,"AUT","Austria",0.00316150861364759,0.00342116377519568,0.00437853947217787,0.00495107141743276,0.00501013689438495,0.00478231042903011,0.00503691771583368,0.00409151243807151,0.00320427612715595,0.00292699637584452,0.00252229774982797,0.00248169376651594,0.00281516109859985,0.0036759221524488,0.00477186202393717,0.0056012705430833,0.00557512445704404,0.00564268407618143,0.0056510538678845,0.00536704405706727
