"code","iso","country","KF5.raw.2005","KF5.raw.2006","KF5.raw.2007","KF5.raw.2008","KF5.raw.2009","KF5.raw.2010","KF5.raw.2011","KF5.raw.2012","KF5.raw.2013","KF5.raw.2014","KF5.raw.2015","KF5.raw.2016","KF5.raw.2017","KF5.raw.2018","KF5.raw.2019","KF5.raw.2020","KF5.raw.2021","KF5.raw.2022","KF5.raw.2023","KF5.raw.2024"
4,"AFG","Afghanistan",121.49125953435,109.106728038719,96.7656065804272,68.6860757379295,62.5135914951062,46.5430513336154,45.8975441534461,43.9782981550911,34.7649646644552,24.0997902420052,19.1511414117079,7.71620567731986,0.676974811226127,0.940489926046005,1.64383311849609,2.78252953955511,3.1620462827539,3.1620462827539,4.48926388729165,4.48766030391926
8,"ALB","Albania",1467.12140287497,929.532241808404,1629.01945747217,1919.55792936281,1678.61396998052,1667.74245549928,1612.60528490468,1143.01283652338,929.400765956059,814.693922138165,752.259893300554,865.449540181452,627.523098472742,644.722844654226,699.963651966644,818.122931156687,825.127182623834,955.171125527816,843.574798710576,794.234843752532
12,"DZA","Algeria",6992.14429182871,7944.79860187573,9551.56529575564,11779.7916051639,14934.048587151,14620.7085298468,16361.7198199196,18768.3286016947,18178.1848679461,17124.8043189255,17988.7983730277,17537.2269140776,37496.0712083473,35951.913884014,34238.8896183002,37936.9451225596,42515.116515723,25098.6357044396,28433.4857606355,27718.1403651568
20,"AND","Andorra",27.6653838996528,32.6357192231315,33.6068808980968,38.5126807431727,18.8911791209266,17.9783221302387,12.3240173049023,18.1376286963975,16.3109469242903,14.9400041561588,15.9101396334461,15.5674070162239,11.0068967272634,22.7023614870052,29.3740838244618,54.358115586365,55.784075573509,67.5888516698415,58.118149750562,67.0153994461024
24,"AGO","Angola",22778.7543397829,18934.668730792,23457.2016508236,23941.7839731359,28821.0812098269,28276.6201016486,33510.9658213728,30972.420602685,33174.5231705559,30680.5643352736,32684.777269028,32080.3836486611,35492.266525672,36621.4599552188,37284.0083432166,38237.47598297,42407.0758913013,42882.6052299885,44974.4526267801,47498.6760630273
660,"AIA","Anguilla",3.80446755567164,3.95078981574868,5.41405059924477,9.95012340447697,7.16992408535481,7.02359987462456,6.73095032427191,5.85297293355143,1.97541130246745,1.60960878676215,1.53644514162435,1.53644514162435,0.95116174884874,0.512125389832899,0.219474815132378,0.219474815132378,1.90225651157335,2.12175370724718,1.9022788921148,1.9022788921148
28,"ATG","Antigua and Barbuda",13.6890930912098,17.2968196558528,14.8703354954644,15.3856540602571,20.2408038464236,18.6927429868218,14.5690068056,15.2306099005143,13.4641252381109,5.59102595193034,3.67863135706271,2.79595199649305,12.0481632296831,19.2466641415407,19.0996036276432,20.5722576700965,20.7931067496918,11.9059408820638,4.41060386387043,8.38610975787759
32,"ARG","Argentina",77282.4827165884,94540.9690459115,109866.793855348,130605.072338901,132571.803197177,136386.054433319,130346.239673896,149059.745480474,148238.727888058,142581.390489311,134830.502138126,128641.564939008,103668.242130082,78811.0011676947,70633.1995917696,71587.5371311254,70286.6931175048,85771.3068079183,94821.7680295305,99818.4310050549
51,"ARM","Armenia",222.574436974646,225.729079065184,196.436320431625,99.785505085193,147.91782213243,158.522931765338,156.953084062734,158.842148790113,163.732028580664,113.425662276285,88.4557233885697,73.3710740116861,77.8683703875389,53.4795593289821,43.7282918383376,56.1958505675932,45.558368126736,18.9335723379123,30.5110486260807,45.5706230136458
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
