"code","iso","country","NTI.raw.1961","NTI.raw.1962","NTI.raw.1963","NTI.raw.1964","NTI.raw.1965","NTI.raw.1966","NTI.raw.1967","NTI.raw.1968","NTI.raw.1969","NTI.raw.1970","NTI.raw.1971","NTI.raw.1972","NTI.raw.1973","NTI.raw.1974","NTI.raw.1975","NTI.raw.1976","NTI.raw.1977","NTI.raw.1978","NTI.raw.1979","NTI.raw.1980","NTI.raw.1981","NTI.raw.1982","NTI.raw.1983","NTI.raw.1984","NTI.raw.1985","NTI.raw.1986","NTI.raw.1987","NTI.raw.1988","NTI.raw.1989","NTI.raw.1990","NTI.raw.1991","NTI.raw.1992","NTI.raw.1993","NTI.raw.1994","NTI.raw.1995","NTI.raw.1996","NTI.raw.1997","NTI.raw.1998","NTI.raw.1999","NTI.raw.2000","NTI.raw.2001","NTI.raw.2002","NTI.raw.2003","NTI.raw.2004","NTI.raw.2005","NTI.raw.2006","NTI.raw.2007","NTI.raw.2008","NTI.raw.2009","NTI.raw.2010","NTI.raw.2011","NTI.raw.2012","NTI.raw.2013","NTI.raw.2014","NTI.raw.2015","NTI.raw.2016","NTI.raw.2017","NTI.raw.2018","NTI.raw.2019","NTI.raw.2020","NTI.raw.2021","NTI.raw.2022","NTI.raw.2023"
36,"AUS","Australia","11.195","11.1894","12.9064","12.0849","11.9031","11.8983","13.9346","13.346","13.794","15.0142","17.0747","20.0605","23.479","24.4511","26.1813","27.1416","24.4746","23.6803","24.7959","24.4182","24.009","23.3536","26.5716","26.51","27.5761","30.2172","33.4627","37.3928","39.846","41.1155","43.9576","48.7438","52.2357","48.6766","59.8837","60.2129","56.1614","61.4645","62.6753","53.6033","56.0938","51.2327","52.9933","50.7289","47.9931","45.2405","47.8","45.3625","42.3621","50.2816","44.5914","44.2049","49.1107","51.9977","50.4412","59.3215","62.2773","55.1816","51.1028","60.7409","72.6327","67.9581","77.9183"
40,"AUT","Austria","103.8929","111.6873","114.5078","115.6623","125.4288","128.1703","136.6241","144.7495","147.8421","149.6725","159.5054","155.579","160.8943","158.9092","156.8793","167.6217","165.5743","172.9153","179.4462","179.4349","176.3453","173.3357","188.776","194.1277","196.8427","180.8346","178.4675","183.6917","170.9205","183.4203","177.371","174.5207","170.4815","169.6973","163.7996","167.7243","169.1063","169.0694","163.7295","159.7011","159.306","156.7811","143.4141","146.0073","146.7498","147.5998","145.6064","150.4831","136.1513","145.6313","152.7137","145.458","152.3337","156.2839","163.4477","160.6491","157.8184","148.637","145.5772","155.5805","143.715","139.9865","144.3274"
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.1968","28.9476","28.3621","28.0036","19.3036","21.5729","18.3115","19.1032","13.6668","17.8566","21.1418","25.1879","23.2271","22.4261","24.0082","22.5597","29.7321","24.5126","21.9222","26.3304","26.5392","26.0814","32.5218","43.669","41.3383","39.9457","52.0003","50.2327","54.8475","32.9644","39.3425","42.9777"
44,"BHS","Bahamas","66.6196","68.2972","69.4109","70.8727","74.9953","81.4088","94.6355","101.4632","97.6485","107.5585","107.4873","121.4609","147.459","118.323","109.8165","134.2392","146.2323","109.4232","102.0113","117.0313","127.9591","113.7407","100.9436","103.8378","92.3302","91.5416","93.9936","95.6052","99.9213","101.7527","90.067","93.0481","79.5342","77.6774","112.752","152.1167","120.8018","166.3247","104.6853","94.0574","130.7844","132.9046","146.7614","150.7517","154.0591","157.6337","160.6594","163.3679","166.3657","153.3508","142.7078","144.8881","125.9717","132.3977","143.7687","199.1489","232.8238","267.1156","144.6668","127.9735","127.0113","127.3942","127.7961"
48,"BHR","Bahrain","11.9836","12.1145","12.2387","12.3679","12.5109","13.0001","13.1105","13.2137","13.3933","13.6771","14.0027","14.795","17.0238","17.6212","22.1222","23.0998","25.0033","24.7915","24.5071","48.7169","72.0022","33.0431","55.3264","72.3145","57.545","184.3485","54.5485","61.9071","69.8521","76.9478","83.3493","84.1537","67.8822","68.512","69.5812","70.9025","72.7292","151.4577","62.4811","57.5567","55.2726","353.3588","359.3749","365.1467","372.796","380.1182","249.9039","494.395","291.0611","572.3531","425.6572","758.9329","830.2006","906.5346","557.292","95.4335","91.7107","98.5381","108.8117","106.8046","107.686","91.291","93.1683"
50,"BGD","Bangladesh","53.4372","55.1493","57.869","59.3059","60.027","61.6239","65.7966","66.7628","71.6082","70.8878","66.0855","70.8157","71.2024","66.929","76.6315","78.9143","86.6903","90.1852","94.8021","90.1869","89.5438","96.4243","99.2469","104.2685","103.8553","111.1088","115.8525","119.449","131.4935","128.9819","142.8196","154.9115","158.7542","169.9005","189.0028","195.9242","186.6918","186.4149","198.7907","198.0817","204.6483","209.4023","203.6638","208.7721","214.5045","221.1344","226.8674","236.5282","230.0771","237.8425","239.9445","231.4888","232.3282","253.9017","254.902","242.5654","252.6545","263.2944","257.7018","262.7795","283.7355","271.1637","281.3872"
52,"BRB","Barbados","217.6295","339.9382","290.3006","320.7742","279.0049","263.1996","277.0392","220.02","188.3219","223.6743","173.0455","206.1375","213.8145","176.5597","156.151","202.0492","177.9809","213.6259","201.6267","211.2819","224.1015","225.4098","197.7564","195.4104","172.816","188.1302","197.125","200.0913","207.3334","196.4882","195.4219","182.7751","179.2185","185.7728","216.5357","221.5343","221.7236","209.6507","219.6487","217.146","207.8117","135.6274","142.9494","310.6199","203.3566","201.4418","199.2978","228.2176","150.64","161.5582","204.4572","258.6634","274.0592","230.8243","230.5891","257.4386","296.5302","266.016","261.0331","254.4743","245.6885","262.7058","255.0514"
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101.2673","94.5963","84.921","86.5798","89.8528","93.2649","91.8247","91.5379","89.4056","95.0299","88.2739","96.4606","109.4384","117.0928","130.2229","124.4731","142.0471","143.3352","141.8336","154.8176","149.8026","144.3619","129.8086","127.8077","109.9869","120.2877","118.5142","119.1744","130.1593","124.2409","130.8376","137.179"
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"386.4503","390.1476","389.3424","379.7845","370.8799","365.0501","357.7973","369.6511","348.3182","373.1834","398.1626","399.3859","408.0404","400.0225","404.7696","401.3425","381.4366","376.6344","376.8002","373.4126","368.6643","359.1298","327.103","319.8027"
84,"BLZ","Belize","20.8037","26.1705","24.7981","22.4552","25.8054","26.0193","34.4586","43.3159","50.3751","59.2198","35.0837","43.4123","40.9924","42.1259","48.1425","38.1959","36.5057","46.5126","46.2724","47.6755","41.3223","40.8394","46.4725","49.2539","55.1238","60.1549","54.799","57.3495","54.2","46.8364","46.6191","44.8404","42.0518","38.3202","39.5844","37.0576","39.7493","45.1707","49.4177","55.412","48.2057","148.3605","231.4425","52.3018","66.4394","53.3707","51.2475","42.3856","82.8258","50.3477","80.7482","85.1571","121.8099","143.6248","137.7946","134.011","128.5701","133.7131","153.6484","136.6135","133.5467","97.446","137.887"
