"code","iso","country","CDB.raw.1980","CDB.raw.1981","CDB.raw.1982","CDB.raw.1983","CDB.raw.1984","CDB.raw.1985","CDB.raw.1986","CDB.raw.1987","CDB.raw.1988","CDB.raw.1989","CDB.raw.1990","CDB.raw.1991","CDB.raw.1992","CDB.raw.1993","CDB.raw.1994","CDB.raw.1995","CDB.raw.1996","CDB.raw.1997","CDB.raw.1998","CDB.raw.1999","CDB.raw.2000","CDB.raw.2001","CDB.raw.2002","CDB.raw.2003","CDB.raw.2004","CDB.raw.2005","CDB.raw.2006","CDB.raw.2007","CDB.raw.2008","CDB.raw.2009","CDB.raw.2010","CDB.raw.2011","CDB.raw.2012","CDB.raw.2013","CDB.raw.2014","CDB.raw.2015","CDB.raw.2016","CDB.raw.2017","CDB.raw.2018","CDB.raw.2019","CDB.raw.2020","CDB.raw.2021","CDB.raw.2022","CDB.raw.2023","CDB.raw.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059317875537628,0.0181130339633933,-0.0183813877383779,-0.0627577098287828,-0.0900594367521699,-0.105273049839821,-0.101523371499061,-0.0962084936017104,-0.0845545223050703,-0.0692902259875047,-0.0547699725083574,-0.0512746858700196,-0.0426132774067237,-0.0315879667814045,-0.0109188500943775,-0.00456230421472925,0.0255094741649227,0.0581138239679753,0.0976307293461169,0.152641222645822,0.206860967026198,0.251700178071462,0.289315748037166,0.298815248162903,0.283917279430311,0.22218401659984,0.173626247993435,0.109939028952465,0.0548171824979986,0.0209010727882353,0.0056348338892187,0.0062802584707089,0.0178002239061765,0.0220559332123402,0.0214926244963829,0.0189709446252908
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0321786274109521,-0.00873914704060841,-0.039587154890189,-0.0905363878802017,-0.128579802853406,-0.160523093035979,-0.173327378458231,-0.17307926705828,-0.175386847001751,-0.156847776694281,-0.0846575874380987,-0.0244264033141016,0.0334470951372023,0.069008969143806,0.103350018292528,0.113984975620673,0.121569767594003,0.111672820044211,0.0750693466878136,0.042544397651753,0.0347336967282026,0.0285801386682236,0.0249789283612869,0.0231428251422565,0.031890778428366,0.0431367064852575,0.0366973415510943,0.0212773253013692,0.0146010408940309,0.00996699871002105,-0.000464433354974814,-0.00666031274933698,-0.00525318611838932,-0.0141414992616737,-0.0175402008399532,-0.00995892107248575
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666522295467966,0.0776422654148243,0.06251643986969,0.0301261942954343,0.0111008464072599,0.0114011242583969,0.0153261047100355,0.0209327150907481,0.0225028452581615,0.0338839321162896,0.030248336344628,0.0183699218917464,0.00807305477217324,5.75480802860184e-05,-0.00509975994116996,-0.00875639142942553,0.00318552653386139,0.0131714700660686,0.0159525040732369,0.0296389309550347,0.0363715825082991,0.0359388112840062,0.03572546824075,0.0384378707751691,0.0417121828203626,0.0416276592166471,0.0509213842057676,0.050894800423537,0.050439147409524,0.0483028492867739,0.0475042366554601,0.0382911088539248,0.0318600461477283,0.0297013163979689,0.028956116494979,0.0275131366848893
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0286192886301997,0.0338247628387269,0.0357574491933614,0.0351828899503608,0.0321592009363383,0.0280995931802723,0.0249379229678879,0.0192362880546488,0.0121790900518508,0.00698589683549811,0.00134337874902912,-0.00294510054773922,-0.00979977057713,-0.0153228586104975,-0.0205596951632926,-0.0225888234694198,-0.0201430344310283,-0.0180940407385041,-0.0152078201270971,-0.00789264632791231,-0.00316177763481351,-0.0120704611275789,-0.0155332296516387,-0.0162448665975138,-0.0174527483822104,-0.018318956160056
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00158074368695982,0.00303987842892228,0.00711918741112005,0.00419174549993007,0.0122569457418347,0.055842624794,0.0919890628832429,0.126778012613033,0.165693451388127,0.183016799717641,0.184334421734826,0.165507969403852,0.130453324480802,0.0833945534564255,0.0361598686712996,0.0215797059118474,0.00382718021825146,0.00242049543466649,0.0037146261790233,0.00989102063049474,0.0229630419948326,0.0346806627354241,0.0425811850062083,0.0522968712835679,0.0613566971088109,0.064431587839092,0.0579368024516829,0.0472517517008708,0.0291939466004087,0.0113968068752217,-0.00478997814774562,-0.0303080952067362,-0.0424964466199637,-0.0408840570728537,-0.0359896035989533,-0.0265183993631766
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0509898973640688,0.0578631513293737,0.0595528913217855,0.058542888672374,0.0627771493435085,0.0678049095535316,0.0713793451628475,0.0761483436559731,0.0732412549508761,0.0689681273092513,0.0603508873179199,0.0563367757764031,0.0478794895203349,0.0328934193456432,0.0130956228865862,0.00181905757546796,0.00145748165048509,0.00638229320779238,0.00708703920140952,0.00898745169130932,0.0146114205299803,0.0176154353038196,0.0194538234026658,0.0193349543242092,0.0128118033262254,0.00982444269320415
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10600306800504,0.0966034209091831,0.0609693093388144,0.0870494963849697,0.0286016458093625,-0.00137530254975549,-0.00212502704172302,-0.00103125663844084,0.0090153425656363,0.0230211602521657,0.0394387930778293,0.0438509837951793,0.0483494188599334,0.0520293490763808,0.0556502558553369,0.0579409521310923,0.0581396138026029,0.0589727343011239,0.0594514139878966,0.0565156148614614,0.0535903615321685,0.0460046103938938,0.0360898079203316,0.0278378496645533,0.0204271318674456,0.0138437984511723,0.00976737079527612,0.00973457523703947,0.0110248788186305,0.0126816007485995,0.0169058630614412,0.0166284050778374,0.0161275258866682,0.0158294057974115,0.0136743122382597,0.0132082077905971
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142444951402763,0.0165592532470531,0.0168561703122485,0.0180542708230678,0.0168082621336012,0.0152114666015746,0.0115719067242899,0.0102146467456687,0.0147554949113085,0.0221029205538807,0.0286947754388107,0.0275168614118049,0.0232325545715746,0.015122764715348,0.00880417547317913,0.00981718151972699,0.0127400869616114,0.019890052127699,0.0260311874509149,0.0349557293974843,0.0416194555011218,0.0460243071231314,0.0440865680297753,0.0330410837298472,0.0211561350962586,0.015485087691341,0.0104670338131301,0.00791817961946428,0.00324721798589267,0.00145646606151506,-0.00396506777205285,-0.0116424036483765,-0.00870767323303734,-0.0070120512637214,-0.00716952909038182,-0.009220087207367
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222477895732818,0.0231196792543431,0.0099264516236568,-0.0152597870155687,-0.0777453521429341,-0.120464024340976,-0.135313028218952,-0.156781384482836,-0.153621290646394,-0.131106579066709,-0.102110006111348,-0.0550578219791352,-0.00663693329584036,0.0281290883815921,0.0212711752165164,0.0187321851191002,0.0371814811583573,0.0323344038466908,0.0469256015682982,0.0646212271948137,0.0536516068494939,0.0464407703740022,0.0463958064799719,0.0407165992200775,0.0331066773588495,0.024899022713089,0.0218100067235469,0.0136498171208044,0.0168153150050063,0.0278536601550077,0.0259068627772847,0.0221092369940219,0.0274640376430684,0.040612266116431,0.0455343513221349,0.0476056925276456
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0100871601214728,-0.0066512561582982,0.000482542791812701,0.0165483745359702,-0.000129765631054934,0.0373895730920968,0.0946843817484617,0.0390260907651738,0.0332927126110663,0.0460932973127295,0.0598824639252211,0.114347714677105,0.156727066438582,0.180784081155379,0.201497433128198,0.205131494195794,0.19712711484509,0.171126109511225,0.133640134514878,0.0808572525737832,0.0154350906937923,0.00789319114473863,0.000347608436904068,-0.039705385960116,-0.0907757577874514,-0.125839765345314,-0.144823573558583,-0.152933641013589,-0.146838681538891,-0.133276761951566,-0.110239387523801,-0.0773414333893457,-0.0279386320178633,-0.0027843397872237,-0.0020424551117586,0.00124742791591781
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0215233053139567,0.0275003976427648,0.0330448044077436,0.0375976194340619,0.0363077152478175,0.0350224219666726,0.0343143126534311,0.0308762989400664,0.0279736678460549,0.0253358582867571,0.0246796061414294,0.0267948657817754,0.0276206759985143,0.0273270295616272,0.0263330529790589,0.0250354113378586,0.0235100246295639,0.0215225797601462,0.019595798479396,0.018569367919202,0.0175282982283147,0.0153230603663499,0.0126521146053444,0.00954453445848613,0.00564316818089639,0.00216798466150103,4.32622948087769e-06,-0.00033298491578071,0.000541343019002216,0.00205887640750824,0.00373086214774232,0.0026430095703287,0.000164243944036135,-0.00227125476718604,-0.00520981459384318,-0.00826126918081449
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00226833833108397,0.0076690123411014,0.0188067127073039,0.0203262692628228,0.018323512433422,0.0179442464152406,0.0189439442698616,0.0199554863067164,0.0225439652066115,0.0173788168123961,0.0092696302400177,0.00903846300301514,0.0150629003304095,0.0158024085487374,0.0188575597708229,0.0195463021013742,0.0214797454685378,0.0226303922917217,0.020062912322278,0.0154763829883655,0.00367315802737611,-0.00409135334392674,-0.0105500883181475,-0.017316437681954,-0.0180957342001057,-0.0199552685944767,-0.0165788001598202,-0.0123368778038603,-0.00696020431765831,-0.0037876468385446,-0.00412097087186114,-0.00491100399134081,-0.00287032019978373,-0.00631067194396262,-0.012315021462478,-0.0202894190093594
