"code","iso","country","GGA.raw.2014","GGA.raw.2015","GGA.raw.2016","GGA.raw.2017","GGA.raw.2018","GGA.raw.2019","GGA.raw.2020","GGA.raw.2021","GGA.raw.2022","GGA.raw.2023","GGA.raw.2024"
4,"AFG","Afghanistan",0.0783308336421109,0.0647173583544101,0.0437965800409523,0.0240103558430316,0.0105593363639638,0.00219082204441287,0.00246270022176539,0.00788126749450302,0.00986251340279587,0.00752302461215716,0.00681181180103316
8,"ALB","Albania",0.0221407968699838,0.0212673204371856,0.015806144229046,0.0139143217207063,0.0116165950027161,0.00367909863260363,-0.0035523555861271,-0.00642268064682405,-0.0155861616224527,-0.0215895992204431,-0.0201801032624
12,"DZA","Algeria",0.0303423070284741,0.0370523772223796,0.0392115635076244,0.0391834870881913,0.0390129331803026,0.0368861369036411,0.0292885911208709,0.0242856424751181,0.0227355157146913,0.0220575072321958,0.0210039497902372
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0.0214806293132155,0.0294560679468063,0.0268638729801487,0.0171335853325418,0.00564689918125638,-0.00518671588327481,-0.0134003407483876,-0.0171805594801747,-0.0131191555560412,-0.0130732924724892,-0.0186635149587571
660,"AIA","Anguilla",-16.8085130425482,-14.1040714442488,-45.6814149240012,-49.4183934981073,-60.7363510994168,-96.5396923596694,-115.274261864265,-126.550876049407,-125.19964149371,-82.59205706049,-63.1206370264946
28,"ATG","Antigua and Barbuda",0.00598095395558218,0.003012427938335,0.00398811213427108,0.00647998989122112,0.00964029467181526,0.0153065821976384,0.0150424704744792,0.0144704753017271,0.0141448340005632,0.0123905691140165,0.0121201498127534
32,"ARG","Argentina",0.00272830089716547,0.00127016037183258,0.00277704405300061,0.00451855739180118,0.0072609650757709,0.00677811567275621,0.00302101906880914,0.0034957827736819,0.00352441272372239,0.00244017726001977,0.000769813340049774
51,"ARM","Armenia",0.0201277400220585,0.0193254221636159,0.0148738763380589,0.0180306064466591,0.0250102609303864,0.0226165080070657,0.0194436426390701,0.0218679731924842,0.0293911870390151,0.0312969497084703,0.032144096471139
533,"ABW","Aruba",-0.11067354680802,-0.143796490227024,-0.151615156447249,-0.145354699902657,-0.131678562567404,-0.108566132581304,-0.0759205588910276,-0.0269326582150894,-0.00129061850727399,-0.000813244036142677,0.00165533726316558
36,"AUS","Australia",0.00336953853593847,0.002461573045206,0.00163587423045475,0.00275027782724324,0.00320688629597798,0.0035084278705777,0.000369454291678117,-0.00171847787085899,-0.00304960936562715,-0.00331885991257652,-0.00390853616507958
40,"AUT","Austria",-0.0177579239124318,-0.0146391074221128,-0.0108623600973078,-0.00627037662695806,-0.00369422687199228,-0.00434144908083034,-0.00518177063105352,-0.00354687500636551,-0.00716473570356146,-0.0126939963880142,-0.0196571505554876
